,g-score
kml.csv,0.23
unicase.csv,0.41
zoolib.csv,0.44
ontopia.csv,0.09
repositorium.csv,0.31
pgui.csv,0.68
ultimairis.csv,0.33
galaxium.csv,0.36
sigil.csv,0.69
ardour.csv,0.66
aten.csv,0.37
irplus.csv,0.41
xfce.csv,0.52
projecteqemu.csv,0.6
personalaccess.csv,0.4
pcsx2.csv,0.56
multitude.csv,0.36
virtuoso.csv,0.72
jrdf.csv,0.0
runuomondains.csv,0.54
jgossipforum.csv,0.0
ingex.csv,0.63
papertoolkit.csv,0.0
modplug.csv,0.5
xcmetadataservicestoolkit.csv,0.45
bionote.csv,0.55
openfrag.csv,0.52
super-tux.csv,0.34
uclmda.csv,0.01
glas.csv,0.13
itext.csv,0.25
pydev.csv,0.69
octet.csv,0.59
powerfolder.csv,0.8
auber.csv,0.42
rebecca-aiml.csv,0.25
dataobjectsdotnet.csv,0.32
jparsec.csv,0.26
twostep.csv,0.18
xbg.csv,0.29
joustsim.csv,0.59
ofbiz.csv,0.38
kftpgrabber.csv,0.69
smartgwt.csv,0.61
img-browse-sort.csv,0.75
adobe-source.csv,0.67
ibatisdb.csv,0.36
fido.csv,0.29
gdis.csv,0.45
madman.csv,0.65
soar.csv,0.51
lufa-lib.csv,0.54
somap.csv,0.41
netatalk.csv,0.55
google-web-toolkit.csv,0.39
megameknet.csv,0.57
power-architect.csv,0.52
enzo.csv,0.21
lite.csv,0.16
hannosset.csv,0.2
lportal.csv,0.75
geotools.csv,0.45
xined.csv,0.74
reaper3d.csv,0.14
openmsx.csv,0.1
loki-lib.csv,0.39
lphant.csv,0.66
ns-3-dev-def-routing.csv,0.6
wxcode.csv,0.74
