,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.41,0.6,0.4,0.69,0.41
ingex.csv,0.92,0.71,0.55,0.94,0.81
jgnash.csv,0.71,0.96,0.83,0.85,0.8
openefm.csv,0.65,0.84,0.54,0.8,0.69
synecdoche.csv,0.62,0.51,0.6,0.69,0.67
