,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.38,0.54,0.64,0.94,0.53
ingex.csv,0.18,0.51,0.96,0.26,0.32
jgnash.csv,0.47,0.97,0.35,0.31,0.17
openefm.csv,0.95,0.32,0.71,0.47,0.52
synecdoche.csv,0.51,0.74,0.55,0.35,0.94
