,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.73,0.6,0.76,0.93,0.59
ingex.csv,0.15,0.48,0.97,0.22,0.28
jgnash.csv,0.42,0.96,0.31,0.27,0.14
openefm.csv,0.94,0.28,0.72,0.46,0.52
synecdoche.csv,0.52,0.84,0.52,0.32,0.93
