,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.19,0.77,0.44,0.33,0.09,0.95,0.16,0.21,0.26,0.27,1.0
bdbbasic.csv,0.58,0.64,0.62,0.49,0.32,0.73,0.89,0.79,0.45,0.41,0.67
bibletime.csv,0.94,0.86,0.81,0.49,0.82,0.68,0.89,1.0,0.53,1.0,1.0
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
etherboot.csv,0.71,0.77,0.31,0.28,0.91,0.24,0.63,0.81,0.5,0.36,1.0
gnukeda.csv,0.65,0.73,0.62,0.95,0.77,0.62,0.58,0.79,0.47,0.64,0.67
google-gears.csv,0.87,0.73,0.38,0.82,0.77,0.84,0.89,0.96,0.99,0.89,0.67
jnode.csv,0.0,0.09,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openmeetings.csv,0.35,1.0,0.44,0.21,0.32,0.68,0.21,0.49,0.24,0.36,0.33
pgui.csv,0.39,0.55,0.19,0.36,0.27,0.41,0.21,0.91,0.44,0.38,0.67
wxcrp.csv,0.94,0.59,0.88,0.31,0.18,0.59,0.21,0.57,0.24,0.2,0.67
