,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.33,0.52,0.06,0.68,0.15,1.0,0.6,0.36,0.82,0.78,0.08
bdbbasic.csv,0.38,0.44,0.07,0.7,0.33,0.46,1.0,0.3,0.87,0.87,0.04
bibletime.csv,0.33,0.14,0.04,0.61,0.31,0.37,0.27,0.28,0.81,1.0,0.03
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
etherboot.csv,0.33,0.17,0.05,0.61,1.0,0.23,0.29,0.31,0.78,0.77,0.07
gnukeda.csv,0.32,0.18,0.04,1.0,0.27,0.48,0.37,0.32,0.87,0.91,0.03
google-gears.csv,0.3,0.25,0.05,0.6,0.28,0.34,0.33,0.28,0.99,0.88,0.06
jnode.csv,0.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openmeetings.csv,0.44,1.0,0.07,0.89,0.32,0.45,0.8,0.52,0.85,0.92,0.04
pgui.csv,0.29,0.31,0.03,0.56,0.22,0.45,0.67,1.0,0.76,0.81,0.06
wxcrp.csv,1.0,0.2,0.04,0.86,0.27,0.54,0.31,0.39,0.8,1.0,0.03
