,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.46,0.38,0.7,0.76,0.46,0.79,0.41,0.49,0.97,0.74,0.64,0.43,0.39,0.41,0.4,0.59,0.52
dynalloy.csv,0.74,0.84,0.36,0.74,1.13,1.0,0.51,0.9,0.64,0.76,0.84,0.83,0.75,0.74,0.65,0.62,0.67
enzo.csv,0.98,0.8,0.73,0.97,0.81,0.81,0.7,0.67,0.96,0.69,0.7,0.32,0.91,0.75,0.95,0.72,0.9
hydrogen.csv,0.93,1.0,1.0,1.0,1.0,0.95,1.0,0.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.7
jcae.csv,1.0,0.71,0.9,0.19,1.03,0.77,0.73,0.57,1.0,0.92,0.74,0.99,0.64,0.46,0.4,0.84,1.0
kmatplot.csv,1.0,0.29,0.74,0.6,1.0,0.73,0.8,0.51,0.86,1.0,0.98,1.0,0.62,0.67,0.97,0.87,0.52
lphant.csv,0.5,0.39,0.72,0.84,0.6,0.9,0.67,0.5,0.99,0.68,0.65,0.54,0.4,0.44,0.43,0.46,0.43
natpad.csv,0.8,0.43,0.86,0.87,0.96,0.8,0.76,0.47,0.8,0.8,0.79,0.9,0.78,0.84,0.57,0.68,0.45
nosleepsoftware.csv,0.51,0.93,1.0,1.0,0.36,1.0,0.94,1.0,0.97,1.0,1.0,0.91,0.96,0.88,0.84,0.79,0.94
ossbuild.csv,0.93,0.78,0.54,0.46,1.02,0.87,0.53,0.6,0.33,0.65,0.62,0.84,0.68,0.79,0.48,0.79,0.68
quarkplayer.csv,0.78,0.71,0.85,0.77,1.01,0.72,0.88,0.92,0.8,0.4,0.92,0.76,0.9,0.83,1.01,0.94,0.82
quickfast.csv,0.64,0.63,0.78,0.77,0.44,0.9,0.77,0.4,0.87,0.75,0.56,1.0,0.82,0.95,0.52,0.34,0.76
rezilla.csv,0.94,0.74,1.01,0.67,0.7,0.31,0.88,0.5,0.85,0.89,0.69,0.93,1.01,0.79,0.93,0.63,0.87
rhex.csv,0.33,0.64,0.85,0.81,0.43,0.95,0.81,0.51,0.95,0.94,0.8,0.55,0.95,0.79,0.63,0.58,0.72
rocrail.csv,0.47,0.54,0.79,0.83,0.53,0.9,0.51,0.35,1.01,0.66,0.58,0.68,0.83,0.4,0.28,0.6,0.48
virtuoso.csv,0.85,0.73,0.99,0.97,1.0,0.97,0.94,0.9,1.0,0.88,0.58,1.0,0.94,0.9,0.96,0.79,1.0
yield.csv,0.67,0.54,0.89,1.0,0.65,0.79,0.32,0.49,0.93,0.68,0.63,0.71,0.59,0.54,0.5,0.7,0.51
