,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.55,0.93,0.44,0.73,0.51,0.5,0.65,0.51,0.53,0.49,0.43
gamestone.csv,0.82,0.88,0.78,0.81,0.78,0.8,0.91,0.62,0.88,0.67,0.93
gbif-providertoolkit.csv,0.78,0.83,0.91,0.84,0.93,0.91,0.86,0.92,0.7,0.94,0.8
heekscad.csv,0.43,0.43,0.39,0.32,0.41,0.42,0.48,0.47,0.39,0.44,0.45
igarden.csv,0.91,0.8,0.91,0.71,0.5,0.83,0.79,0.93,1.0,0.95,0.93
levent.csv,0.45,0.54,0.43,0.36,0.38,0.5,0.45,0.57,0.48,0.52,0.49
lportal.csv,0.83,0.49,0.63,0.6,0.73,0.72,0.8,0.7,0.99,0.58,0.7
natpad.csv,0.52,0.86,0.57,0.61,0.61,0.48,0.69,0.6,0.47,0.66,0.55
openmsx.csv,0.56,0.56,0.54,0.36,0.49,0.53,0.48,0.72,0.54,0.67,0.55
owlapi.csv,0.71,0.89,0.94,0.91,0.92,0.78,0.83,0.88,0.61,0.91,0.71
xcsoar.csv,0.36,0.48,0.44,0.5,0.37,0.52,0.51,0.47,0.48,0.53,0.38
