,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.59,0.13,0.57,0.27,0.21,0.69,0.97,0.29,0.07,0.38,0.54
gamestone.csv,0.82,1.0,0.7,0.29,0.17,1.0,0.36,0.29,0.04,0.33,0.27
gbif-providertoolkit.csv,0.78,0.0,0.82,0.47,1.0,0.73,0.29,0.33,0.06,0.56,0.8
heekscad.csv,0.99,0.2,0.61,0.35,0.2,0.72,0.4,0.27,0.05,0.38,0.52
igarden.csv,0.91,0.2,0.55,0.97,1.0,0.83,0.32,0.2,0.05,0.58,0.57
levent.csv,0.73,0.14,0.55,0.33,0.2,0.98,0.34,0.19,0.05,0.42,0.51
lportal.csv,0.45,0.19,0.44,0.2,0.06,0.63,0.22,0.15,0.98,0.38,0.26
natpad.csv,0.71,0.0,0.57,0.37,0.26,0.77,0.36,0.22,0.07,0.32,0.98
openmsx.csv,0.63,0.11,0.33,0.27,0.15,0.66,0.33,0.16,0.03,1.0,0.33
owlapi.csv,0.71,0.04,0.5,0.18,0.25,0.61,0.29,1.0,0.04,0.44,0.41
xcsoar.csv,0.8,0.14,0.96,0.42,0.22,0.95,0.35,0.34,0.07,0.45,0.58
