,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.68,0.25,0.73,0.26,0.71,0.45,0.95,0.84,0.65,0.58,0.58
gamestone.csv,0.18,1.0,0.29,0.19,0.21,0.1,0.11,0.48,0.18,0.17,0.09
gbif-providertoolkit.csv,0.38,0.0,0.16,0.29,1.0,0.16,0.05,0.16,0.37,0.14,0.09
heekscad.csv,0.99,0.75,0.75,0.81,0.64,0.53,0.55,0.8,0.82,0.51,0.51
igarden.csv,0.26,0.12,0.11,0.97,0.14,0.31,0.29,0.12,0.24,0.17,0.19
levent.csv,0.82,0.62,0.84,0.81,0.79,1.0,0.68,0.68,0.72,0.54,0.67
lportal.csv,0.39,0.88,0.5,0.32,0.14,0.59,0.29,0.6,0.84,0.63,0.4
natpad.csv,0.64,0.0,0.61,0.45,0.57,0.49,0.39,0.48,0.82,0.23,0.91
openmsx.csv,0.68,0.62,0.46,0.74,0.43,0.78,0.71,0.6,0.51,0.98,0.6
owlapi.csv,0.32,0.12,0.29,0.06,0.21,0.22,0.32,1.0,0.51,0.38,0.56
xcsoar.csv,0.69,0.38,0.93,0.52,0.64,0.41,0.34,0.52,0.66,0.32,0.7
