,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.63,0.17,0.64,0.26,0.33,0.54,0.96,0.43,0.12,0.46,0.56
gamestone.csv,0.3,1.0,0.41,0.23,0.19,0.19,0.16,0.36,0.06,0.22,0.14
gbif-providertoolkit.csv,0.51,0.0,0.27,0.36,1.0,0.27,0.09,0.22,0.11,0.22,0.17
heekscad.csv,0.99,0.32,0.67,0.49,0.3,0.61,0.47,0.4,0.1,0.43,0.52
igarden.csv,0.4,0.15,0.18,0.97,0.25,0.45,0.31,0.15,0.09,0.26,0.28
levent.csv,0.77,0.22,0.66,0.47,0.32,0.99,0.45,0.3,0.09,0.47,0.58
lportal.csv,0.42,0.31,0.47,0.25,0.09,0.61,0.25,0.24,0.91,0.47,0.31
natpad.csv,0.67,0.0,0.59,0.41,0.36,0.6,0.38,0.3,0.12,0.27,0.94
openmsx.csv,0.65,0.19,0.39,0.4,0.22,0.71,0.45,0.25,0.06,0.99,0.43
owlapi.csv,0.45,0.06,0.36,0.1,0.23,0.33,0.3,1.0,0.08,0.41,0.47
xcsoar.csv,0.74,0.21,0.95,0.46,0.33,0.57,0.35,0.41,0.13,0.38,0.63
