,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.94,0.89,1.0,0.88,1.0,0.88,0.92,0.9,0.87,0.98,0.79,0.66
dsworkbench.csv,1.0,0.14,0.09,0.41,0.2,0.38,0.62,0.3,0.47,0.3,0.41,0.7
gogoego.csv,0.32,0.96,0.1,0.29,0.2,0.19,0.54,0.1,0.36,0.24,0.17,0.94
jpaul.csv,0.38,0.24,0.16,0.94,0.4,0.06,0.38,0.0,0.53,0.15,0.0,0.11
loki-lib.csv,0.78,0.51,0.23,0.53,0.35,0.62,0.92,0.5,0.7,0.59,0.93,0.43
motu.csv,0.26,0.4,0.17,0.47,0.0,0.25,1.0,0.1,0.57,0.3,0.38,0.19
mp-rechnungs-und-kundenverwaltung.csv,0.3,0.29,0.22,0.12,0.05,0.44,0.31,0.0,0.87,0.24,0.59,0.82
rtrt-on-gpu.csv,0.24,0.28,0.13,0.18,0.0,0.31,0.31,1.0,0.19,0.46,0.1,0.24
scenemonitor.csv,0.64,0.8,0.43,0.88,1.0,0.5,0.85,0.6,0.85,0.65,0.34,0.52
xstore.csv,0.44,0.67,0.36,0.47,0.4,0.69,0.92,0.5,0.64,0.98,0.76,0.85
yarp0.csv,0.42,0.63,0.49,0.53,0.25,0.94,0.08,0.7,0.79,0.39,0.38,0.62
zemljanka.csv,0.98,0.94,1.0,0.94,1.0,0.88,1.0,1.0,0.96,0.98,0.52,1.0
