,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.38,0.37,0.38,0.47,0.31,0.35,0.35,0.44,0.35,0.47,0.41,0.45
dsworkbench.csv,0.42,0.71,0.91,0.58,0.88,0.92,0.51,0.83,0.6,0.93,0.76,0.62
gogoego.csv,0.67,0.81,0.92,0.83,0.83,0.89,0.43,0.75,0.75,0.8,0.78,0.45
jpaul.csv,0.45,0.98,0.95,0.62,0.64,0.86,0.67,0.0,0.55,0.93,0.0,0.96
loki-lib.csv,0.42,0.5,0.7,0.42,0.83,0.41,0.38,0.68,0.39,0.58,0.59,0.72
motu.csv,0.71,0.83,0.89,0.69,0.0,0.85,0.77,0.0,0.49,0.81,0.64,0.85
mp-rechnungs-und-kundenverwaltung.csv,0.71,0.89,0.92,0.8,0.0,0.77,0.8,0.0,0.68,0.79,0.56,0.49
rtrt-on-gpu.csv,0.94,0.86,0.94,0.9,0.75,0.77,0.74,0.91,0.96,0.52,0.92,0.74
scenemonitor.csv,0.38,0.44,0.52,0.42,0.55,0.38,0.39,0.4,0.37,0.4,0.65,0.4
xstore.csv,0.52,0.47,0.57,0.56,0.67,0.41,0.38,0.9,0.41,0.52,0.48,0.48
yarp0.csv,0.58,0.42,0.45,0.45,0.83,0.67,0.88,0.79,0.35,0.61,0.7,0.47
zemljanka.csv,0.35,0.36,0.35,0.46,0.31,0.37,0.4,0.41,0.36,0.47,0.47,0.45
