,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.4,0.32,0.99,0.7,0.0,0.37,0.72,0.59,0.44,0.27,0.54,0.6
dsworkbench.csv,1.0,0.17,0.11,0.45,0.24,0.43,0.55,0.33,0.5,0.34,0.45,0.49
gogoego.csv,0.37,0.97,0.12,0.34,0.24,0.22,0.53,0.12,0.4,0.28,0.2,0.0
jpaul.csv,0.43,0.28,0.19,0.95,0.45,0.07,0.43,0.0,0.56,0.18,0.0,0.13
loki-lib.csv,0.6,0.53,0.27,0.55,0.4,0.55,0.77,0.51,0.65,0.57,0.94,0.46
motu.csv,0.3,0.45,0.2,0.52,0.0,0.29,1.0,0.12,0.58,0.34,0.42,0.22
mp-rechnungs-und-kundenverwaltung.csv,0.33,0.33,0.26,0.15,0.06,0.47,0.36,0.0,0.89,0.28,0.39,0.0
rtrt-on-gpu.csv,0.27,0.32,0.16,0.21,0.0,0.35,0.34,1.0,0.22,0.5,0.12,0.28
scenemonitor.csv,0.65,0.58,0.45,0.73,1.0,0.51,0.7,0.49,0.6,0.63,0.39,0.54
xstore.csv,0.41,0.62,0.4,0.51,0.45,0.66,0.77,0.55,0.61,0.98,0.35,0.36
yarp0.csv,0.46,0.61,0.51,0.51,0.29,0.95,0.1,0.73,0.57,0.43,0.42,0.66
zemljanka.csv,0.4,0.21,0.0,0.0,0.0,0.69,0.43,0.0,0.21,0.0,0.53,1.0
