,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.84,0.01,0.07,0.04,0.0,0.13,0.0,0.0,0.14,0.03
fityk.csv,0.46,0.8,0.7,0.12,0.47,0.45,0.8,0.36,0.39,0.56
freenet.csv,0.68,0.51,0.41,0.79,0.97,0.68,0.75,0.91,0.66,0.79
geogebra.csv,0.64,0.1,0.66,0.25,0.53,0.37,0.13,0.41,0.34,0.23
hibernate.csv,0.08,0.72,0.2,0.46,0.07,0.35,0.31,0.59,0.3,0.28
itext.csv,0.05,0.35,0.37,0.12,0.2,0.3,0.32,0.23,0.26,0.43
k3b.csv,0.72,0.38,0.76,0.29,0.57,0.48,0.27,0.73,0.42,0.61
lamp.csv,0.21,0.12,0.56,0.83,0.63,0.56,0.28,0.55,0.42,0.59
megameknet.csv,0.22,0.76,0.48,0.62,0.8,0.33,0.26,0.64,0.5,0.79
thout.csv,0.98,0.23,0.74,0.75,1.0,0.45,0.82,0.86,0.73,0.87
