,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.18,0.08,0.1,0.03,0.0,0.38,0.0,0.0,0.23,0.02
fityk.csv,0.24,0.33,0.73,0.55,0.65,0.04,0.36,0.75,0.43,0.36
freenet.csv,0.18,0.41,0.75,0.71,0.7,0.1,0.42,0.76,0.44,0.4
geogebra.csv,0.2,0.43,0.72,0.69,0.7,0.05,0.54,0.59,0.43,0.54
hibernate.csv,0.22,0.38,0.63,0.62,0.5,0.18,0.49,0.67,0.46,0.46
itext.csv,0.38,0.43,0.72,0.53,0.77,0.11,0.49,0.6,0.45,0.47
k3b.csv,0.22,0.43,0.77,0.75,0.71,0.07,0.51,0.71,0.45,0.41
lamp.csv,0.36,0.39,0.73,0.81,0.74,0.06,0.49,0.65,0.45,0.43
megameknet.csv,0.29,0.33,0.74,0.66,0.67,0.05,0.49,0.77,0.38,0.35
thout.csv,0.18,0.49,0.7,0.61,0.69,0.15,0.34,0.62,0.35,0.33
