,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.85,0.95,0.95,0.98,1.0,0.13,1.0,1.0,0.84,0.99
fityk.csv,0.54,0.85,0.73,0.62,0.57,0.87,0.82,0.47,0.6,0.66
freenet.csv,0.74,0.59,0.49,0.84,0.97,0.68,0.75,0.92,0.71,0.79
geogebra.csv,0.68,0.64,0.7,0.48,0.57,0.84,0.48,0.65,0.6,0.4
hibernate.csv,0.79,0.75,0.54,0.65,0.65,0.35,0.46,0.68,0.56,0.49
itext.csv,0.65,0.54,0.49,0.63,0.33,0.58,0.45,0.57,0.59,0.49
k3b.csv,0.72,0.54,0.77,0.44,0.59,0.69,0.43,0.77,0.58,0.64
lamp.csv,0.41,0.67,0.61,0.84,0.64,0.75,0.46,0.67,0.59,0.61
megameknet.csv,0.55,0.81,0.55,0.73,0.81,0.82,0.46,0.66,0.68,0.81
thout.csv,0.98,0.49,0.78,0.87,1.0,0.45,0.84,0.94,0.83,0.9
