,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,passwordsafe.csv,miranda.csv
boost.csv,0.33,0.54,0.38,0.59,0.67,0.0,0.28,0.61
etics.csv,0.0,0.16,0.21,0.11,0.33,0.06,0.16,0.14
genecys.csv,0.98,0.84,0.61,0.99,0.0,0.99,0.73,0.87
kvs.csv,0.19,0.09,0.0,0.15,0.11,0.24,0.2,0.2
mcore3d.csv,0.48,0.02,0.54,0.38,0.67,0.58,0.41,0.54
miranda.csv,0.5,0.25,0.42,0.43,0.56,0.27,0.58,0.02
ogrehg.csv,0.07,0.35,0.16,0.03,0.67,0.19,0.49,0.43
passwordsafe.csv,0.6,0.35,0.3,0.32,0.44,0.4,0.02,0.43
