,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,passwordsafe.csv,miranda.csv
boost.csv,0.92,0.53,0.35,0.64,0.63,0.98,0.44,0.68
etics.csv,0.92,0.16,0.2,0.21,0.47,0.11,0.19,0.36
genecys.csv,1.0,0.94,0.7,0.85,1.0,0.99,0.77,0.92
kvs.csv,0.31,0.15,0.85,0.18,0.23,0.16,0.12,0.3
mcore3d.csv,0.69,0.98,0.7,0.54,0.71,0.63,0.58,0.72
miranda.csv,0.85,0.36,0.25,0.56,0.74,0.37,0.63,0.99
ogrehg.csv,0.62,0.48,0.65,0.93,0.55,0.43,0.53,0.6
passwordsafe.csv,0.54,0.51,0.55,0.49,0.68,0.43,0.95,0.56
