,pd
rectracker.csv,0.36
dynalloy.csv,0.17
mpqc.csv,0.35
thout.csv,0.36
benojt.csv,0.23
sabbu.csv,0.47
unladen-swallow.csv,0.68
powerfolder-.csv,0.52
barracudamvc.csv,0.32
nutz.csv,0.2
apolloplayer.csv,0.46
vxl.csv,0.16
fbmanager.csv,0.24
olsrd.csv,0.22
jajuk.csv,0.47
sqlpower-library.csv,0.24
heekscad.csv,0.31
zorannt.csv,0.39
emftriple.csv,0.0
gamestone.csv,0.25
jicarilla.csv,0.0
sevenupdate.csv,0.31
nuttx.csv,0.17
psrchive.csv,0.43
jvcl.csv,0.38
kdenlive.csv,0.42
hatari.csv,0.59
maidsafe-dht.csv,0.36
opde.csv,0.28
brlcad.csv,0.24
opentibia.csv,0.33
plee-the-bear.csv,0.76
xcsoar.csv,0.48
vapor.csv,0.56
reaper-ecad.csv,0.88
jmri.csv,0.23
igarden.csv,0.35
mb-unit.csv,0.29
kaffeine.csv,0.18
ossim.csv,0.44
jlinalg.csv,0.18
megasquirtavr.csv,0.4
psycle.csv,0.28
beast-mcmc.csv,0.45
ikvm.csv,0.36
bscwweasel.csv,0.4
zact.csv,0.0
zscreen.csv,0.04
sarasvati.csv,0.09
flylegacy.csv,0.35
nullc.csv,0.32
dvt.csv,0.26
retromenu.csv,0.71
jatlas.csv,0.0
liferea.csv,0.62
array4j.csv,0.19
go.csv,0.32
zealos.csv,0.27
ns-3.csv,0.15
nug.csv,0.53
critterding.csv,0.24
gotjava.csv,0.0
optalgtoolkit.csv,0.21
kwave.csv,0.06
superwaba.csv,0.9
ltp.csv,0.26
pdfedit.csv,0.3
blogentis.csv,0.58
mclient-mume.csv,0.13
firebird.csv,0.41
