,pci_20
rectracker.csv,0.54
dynalloy.csv,0.93
mpqc.csv,0.5
thout.csv,0.75
benojt.csv,0.7
sabbu.csv,0.49
unladen-swallow.csv,0.46
powerfolder-.csv,0.62
barracudamvc.csv,0.59
nutz.csv,0.97
apolloplayer.csv,0.53
vxl.csv,0.79
fbmanager.csv,0.7
olsrd.csv,0.75
jajuk.csv,0.57
sqlpower-library.csv,0.75
heekscad.csv,0.62
zorannt.csv,0.87
emftriple.csv,0.83
gamestone.csv,0.75
jicarilla.csv,0.8
sevenupdate.csv,0.53
nuttx.csv,0.97
psrchive.csv,0.57
jvcl.csv,0.75
kdenlive.csv,0.47
hatari.csv,0.41
maidsafe-dht.csv,0.65
opde.csv,0.71
brlcad.csv,0.75
opentibia.csv,0.48
plee-the-bear.csv,0.49
xcsoar.csv,0.55
vapor.csv,0.5
reaper-ecad.csv,0.48
jmri.csv,0.72
igarden.csv,0.75
mb-unit.csv,0.73
kaffeine.csv,0.78
ossim.csv,0.76
jlinalg.csv,0.7
megasquirtavr.csv,0.61
psycle.csv,0.65
beast-mcmc.csv,0.82
ikvm.csv,0.54
bscwweasel.csv,0.59
zact.csv,0.81
zscreen.csv,0.5
sarasvati.csv,0.93
flylegacy.csv,0.56
nullc.csv,0.56
dvt.csv,0.42
retromenu.csv,0.39
jatlas.csv,0.5
liferea.csv,0.39
array4j.csv,0.91
go.csv,0.67
zealos.csv,0.81
ns-3.csv,0.94
nug.csv,0.53
critterding.csv,0.88
gotjava.csv,0.97
optalgtoolkit.csv,0.77
kwave.csv,0.75
superwaba.csv,0.38
ltp.csv,0.68
pdfedit.csv,0.7
blogentis.csv,0.44
mclient-mume.csv,0.8
firebird.csv,0.51
