,g-score
rectracker.csv,0.4
dynalloy.csv,0.2
mpqc.csv,0.38
thout.csv,0.41
benojt.csv,0.24
sabbu.csv,0.51
unladen-swallow.csv,0.68
powerfolder-.csv,0.56
barracudamvc.csv,0.34
nutz.csv,0.24
apolloplayer.csv,0.5
vxl.csv,0.19
fbmanager.csv,0.28
olsrd.csv,0.26
jajuk.csv,0.52
sqlpower-library.csv,0.28
heekscad.csv,0.36
zorannt.csv,0.44
emftriple.csv,0.0
gamestone.csv,0.29
jicarilla.csv,0.0
sevenupdate.csv,0.36
nuttx.csv,0.2
psrchive.csv,0.47
jvcl.csv,0.43
kdenlive.csv,0.47
hatari.csv,0.61
maidsafe-dht.csv,0.4
opde.csv,0.32
brlcad.csv,0.28
opentibia.csv,0.38
plee-the-bear.csv,0.74
xcsoar.csv,0.53
vapor.csv,0.59
reaper-ecad.csv,0.82
jmri.csv,0.27
igarden.csv,0.4
mb-unit.csv,0.33
kaffeine.csv,0.22
ossim.csv,0.48
jlinalg.csv,0.21
megasquirtavr.csv,0.44
psycle.csv,0.33
beast-mcmc.csv,0.5
ikvm.csv,0.41
bscwweasel.csv,0.44
zact.csv,0.0
zscreen.csv,0.05
sarasvati.csv,0.11
flylegacy.csv,0.4
nullc.csv,0.36
dvt.csv,0.3
retromenu.csv,0.71
jatlas.csv,0.0
liferea.csv,0.6
array4j.csv,0.23
go.csv,0.37
zealos.csv,0.31
ns-3.csv,0.18
nug.csv,0.57
critterding.csv,0.28
gotjava.csv,0.0
optalgtoolkit.csv,0.24
kwave.csv,0.07
superwaba.csv,0.68
ltp.csv,0.3
pdfedit.csv,0.34
blogentis.csv,0.52
mclient-mume.csv,0.16
firebird.csv,0.45
