,precision
rectracker.csv,0.77
dynalloy.csv,0.64
mpqc.csv,0.12
thout.csv,0.5
benojt.csv,0.91
sabbu.csv,0.73
unladen-swallow.csv,0.21
powerfolder-.csv,0.55
barracudamvc.csv,0.77
nutz.csv,0.45
apolloplayer.csv,0.37
vxl.csv,0.25
fbmanager.csv,0.8
olsrd.csv,0.94
jajuk.csv,0.86
sqlpower-library.csv,0.92
heekscad.csv,0.92
zorannt.csv,0.3
emftriple.csv,0.0
gamestone.csv,0.12
jicarilla.csv,0.0
sevenupdate.csv,1.0
nuttx.csv,0.78
psrchive.csv,0.29
jvcl.csv,0.19
kdenlive.csv,0.83
hatari.csv,0.63
maidsafe-dht.csv,0.29
opde.csv,0.41
brlcad.csv,0.31
opentibia.csv,0.93
plee-the-bear.csv,0.12
xcsoar.csv,0.71
vapor.csv,0.44
reaper-ecad.csv,0.27
jmri.csv,0.59
igarden.csv,0.55
mb-unit.csv,0.91
kaffeine.csv,1.0
ossim.csv,0.13
jlinalg.csv,0.9
megasquirtavr.csv,0.26
psycle.csv,0.91
beast-mcmc.csv,0.67
ikvm.csv,0.62
bscwweasel.csv,0.2
zact.csv,0.0
zscreen.csv,1.0
sarasvati.csv,0.07
flylegacy.csv,0.88
nullc.csv,0.89
dvt.csv,0.28
retromenu.csv,0.54
jatlas.csv,0.0
liferea.csv,0.29
array4j.csv,0.27
go.csv,0.93
zealos.csv,0.5
ns-3.csv,0.71
nug.csv,0.53
critterding.csv,1.0
gotjava.csv,0.0
optalgtoolkit.csv,0.31
kwave.csv,0.25
superwaba.csv,0.43
ltp.csv,0.72
pdfedit.csv,0.65
blogentis.csv,0.25
mclient-mume.csv,0.8
firebird.csv,0.69
