,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.49,0.24,0.25,0.74,0.3,0.29,0.91,0.53,0.55,0.76,0.06,0.2,0.26,0.66,0.32,0.67,0.16
arm-webradio.csv,0.43,0.19,0.21,0.44,0.24,0.32,0.46,0.53,0.52,0.48,0.11,0.33,0.24,0.46,0.6,0.59,0.79
codepurge.csv,0.51,0.26,0.16,0.45,0.28,0.32,0.35,0.26,0.14,0.34,0.27,0.34,0.43,0.44,0.24,0.48,0.5
fw4spl.csv,0.22,0.33,0.34,0.59,0.16,0.35,0.57,0.23,0.21,0.51,0.11,0.29,0.27,0.39,0.52,0.38,0.53
glas.csv,0.44,0.31,0.25,0.64,0.21,0.33,0.74,0.45,0.6,0.57,0.15,0.39,0.31,0.51,0.52,0.65,0.37
grisbi.csv,0.51,0.23,0.25,0.85,0.23,0.28,0.87,0.5,0.55,0.92,0.17,0.34,0.27,0.57,0.62,0.64,0.4
gwanted.csv,0.46,0.3,0.29,0.34,0.53,0.22,0.79,0.14,0.25,0.57,0.36,0.4,0.29,0.47,0.46,0.59,0.42
lcfizvtop.csv,0.45,0.29,0.0,0.55,0.26,0.6,0.75,0.26,0.49,0.64,0.11,0.35,0.25,0.42,0.7,0.63,0.58
ldview.csv,0.65,0.17,0.32,0.55,0.16,0.27,0.73,0.48,0.42,0.45,0.2,0.37,0.07,0.55,0.49,0.16,0.54
libmesh.csv,0.21,0.17,0.14,0.51,0.07,0.2,0.71,0.44,0.37,0.51,0.17,0.08,0.18,0.24,0.41,0.37,0.0
mediaportal.csv,0.0,0.15,0.29,0.19,0.24,0.12,0.06,0.21,0.05,0.13,0.0,0.42,0.08,0.2,0.17,0.43,0.74
olex2.csv,0.0,0.23,0.25,0.58,0.43,0.24,0.58,0.12,0.05,0.58,0.38,0.39,0.17,0.3,0.33,0.73,0.4
oppna-program-hsatools.csv,0.37,0.18,0.24,0.92,0.29,0.25,0.91,0.37,0.4,0.94,0.26,0.33,0.19,0.54,0.43,0.63,0.16
qlc.csv,0.44,0.28,0.38,0.59,0.37,0.15,0.72,0.3,0.51,0.56,0.32,0.39,0.34,0.44,0.57,0.66,0.59
somap.csv,0.52,0.23,0.2,0.87,0.22,0.31,0.92,0.51,0.56,0.9,0.11,0.31,0.25,0.52,0.64,0.56,0.41
wxcode.csv,0.3,0.19,0.28,0.53,0.35,0.22,0.71,0.27,0.05,0.29,0.48,0.37,0.14,0.33,0.21,0.43,0.02
xcf.csv,0.57,0.27,0.3,0.78,0.29,0.3,0.9,0.51,0.61,0.75,0.29,0.36,0.21,0.61,0.76,0.68,0.12
