,moviesandbox.csv,libtorrent.csv,sigil.csv,xbg.csv,xtreemfs.csv,crux-framework.csv
crux-framework.csv,0.0,0.0,0.0,0.0,0.01,1.0
libtorrent.csv,0.98,1.0,0.98,0.88,0.98,1.0
moviesandbox.csv,1.0,0.26,0.56,0.0,0.67,0.33
sigil.csv,0.77,0.34,0.98,0.25,0.74,1.0
xbg.csv,0.52,0.18,0.38,1.0,0.06,0.33
xtreemfs.csv,0.73,0.51,0.62,0.25,0.99,1.0
