,moviesandbox.csv,libtorrent.csv,sigil.csv,xbg.csv,xtreemfs.csv,crux-framework.csv
crux-framework.csv,1.0,1.0,1.0,1.0,0.99,0.0
libtorrent.csv,0.83,0.0,0.87,0.63,0.97,0.96
moviesandbox.csv,0.03,0.76,0.46,1.01,0.35,0.74
sigil.csv,0.49,0.66,0.03,0.75,0.28,0.44
xbg.csv,0.57,0.84,0.71,0.0,0.94,0.67
xtreemfs.csv,0.74,0.5,0.42,0.77,0.02,0.59
