,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,mevenide.csv
alembik.csv,0.42,0.51,0.0,0.72,0.51,0.18
arsenal-1.csv,0.73,0.14,0.69,0.08,0.13,0.34
barracudamvc.csv,0.82,0.57,0.63,0.54,0.43,0.22
mevenide.csv,0.68,0.39,0.26,0.08,0.19,0.65
mumble.csv,0.7,0.57,0.45,0.19,0.72,0.2
openintents.csv,0.63,0.63,0.64,0.53,0.25,0.26
