,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.91,0.55,0.02,0.66,0.92,0.56,0.89,0.61,0.71,0.18,0.68,0.67
miranda-icq.csv,0.91,0.87,0.76,0.81,0.66,0.91,0.8,0.69,0.06,1.11,0.7,0.89
pclasses.csv,0.09,0.78,1.0,0.37,1.0,1.0,0.73,1.0,0.94,0.82,0.79,0.87
pfaedit.csv,0.82,0.59,0.74,0.45,0.03,1.0,0.72,0.56,0.63,0.72,0.69,0.64
rockbox.csv,0.58,0.59,0.88,0.45,0.54,0.89,0.59,0.79,0.67,1.06,0.6,0.05
theresa.csv,1.0,1.0,1.0,0.02,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0
thrust.csv,0.82,0.71,0.78,0.54,0.77,0.12,0.66,0.72,0.78,0.66,0.68,0.91
tktoolkit.csv,0.86,0.69,0.98,0.58,0.83,0.85,0.71,0.09,0.72,0.32,0.68,0.81
trinitycore.csv,0.82,1.0,1.0,0.2,0.85,1.0,0.87,1.0,0.98,0.87,0.02,0.9
tzod.csv,0.74,0.04,0.66,0.75,0.71,1.0,0.7,0.72,0.62,0.4,0.61,0.9
yaprm.csv,0.74,0.64,0.81,0.37,0.84,0.8,0.05,0.86,0.66,1.13,0.71,0.93
