,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.42,0.7,0.98,0.72,0.34,0.68,0.39,0.59,0.61,0.85,0.56,0.6
miranda-icq.csv,0.21,0.18,0.28,0.36,0.4,0.14,0.28,0.43,0.95,0.0,0.37,0.13
pclasses.csv,0.92,0.3,0.0,0.7,0.0,0.0,0.34,0.0,0.07,0.22,0.26,0.24
pfaedit.csv,0.21,0.51,0.31,0.68,0.99,0.0,0.52,0.58,0.48,0.33,0.42,0.42
rockbox.csv,0.57,0.68,0.15,0.68,0.61,0.14,0.66,0.48,0.5,0.0,0.67,0.96
theresa.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
thrust.csv,0.3,0.37,0.4,0.65,0.53,0.9,0.45,0.51,0.39,0.39,0.39,0.19
tktoolkit.csv,0.42,0.49,0.3,0.78,0.46,0.46,0.45,0.93,0.44,0.73,0.47,0.3
trinitycore.csv,0.21,0.0,0.0,0.95,0.18,0.0,0.17,0.0,0.02,0.16,0.98,0.13
tzod.csv,0.31,0.97,0.64,0.37,0.62,0.0,0.42,0.56,0.61,0.65,0.52,0.13
yaprm.csv,0.46,0.45,0.24,0.7,0.44,0.45,0.96,0.25,0.42,0.0,0.45,0.19
