,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,17.0,4.0,0.0,32.0,9.0,4.0,3.0,6.0,8.0,0.0,20.0,6.0
miranda-icq.csv,1.0,6.0,0.0,23.0,1.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0
pclasses.csv,0.0,0.0,69.0,7.0,88.0,63.0,3.0,177.0,1.0,0.0,1.0,11.0
pfaedit.csv,1.0,7.0,0.0,14.0,0.0,63.0,1.0,1.0,2.0,0.0,7.0,0.0
rockbox.csv,3.0,3.0,2.0,14.0,2.0,0.0,0.0,20.0,1.0,0.0,6.0,0.0
theresa.csv,66.0,74.0,69.0,1.0,88.0,63.0,74.0,177.0,0.0,196.0,223.0,50.0
thrust.csv,5.0,1.0,0.0,21.0,0.0,0.0,3.0,30.0,3.0,0.0,4.0,5.0
tktoolkit.csv,1.0,3.0,2.0,28.0,8.0,1.0,0.0,0.0,1.0,0.0,11.0,7.0
trinitycore.csv,0.0,74.0,69.0,10.0,1.0,63.0,0.0,177.0,1.0,0.0,0.0,0.0
tzod.csv,2.0,0.0,0.0,17.0,3.0,63.0,0.0,2.0,3.0,0.0,4.0,1.0
yaprm.csv,1.0,3.0,1.0,8.0,6.0,7.0,0.0,16.0,2.0,0.0,11.0,8.0
