,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.08,0.0,0.09,0.12,0.0,0.02,0.03,0.06,0.08,0.02,0.11,0.16,0.08,0.0,0.0
arianne.csv,0.01,0.6,0.73,0.59,0.7,0.36,0.44,0.49,0.51,0.4,0.74,0.69,0.62,0.6,0.78
auber.csv,0.15,0.4,0.36,0.61,0.43,0.2,0.15,0.34,0.27,0.0,0.33,0.44,0.26,0.13,0.5
bl-toolkit.csv,0.34,0.4,0.0,0.14,0.33,0.34,0.87,0.07,0.68,0.58,1.0,0.4,0.97,0.47,0.39
growl-for-windows.csv,0.79,1.0,0.73,0.76,0.83,0.32,0.72,0.53,0.84,0.53,0.82,0.62,0.92,0.8,0.0
keyczar.csv,0.22,0.2,0.27,0.56,0.26,0.88,0.59,0.65,0.38,0.6,0.59,0.2,0.22,0.13,0.28
kml.csv,0.18,0.8,0.55,0.21,0.46,0.1,0.0,0.25,0.35,0.31,0.59,0.68,0.48,0.2,0.39
knowledge.csv,0.81,0.0,0.95,0.95,0.83,1.0,0.92,0.99,1.0,1.0,0.98,0.97,0.94,1.0,0.89
les-indemodables.csv,0.19,0.2,0.36,0.14,0.35,0.29,0.21,0.33,0.22,0.29,0.48,0.46,0.0,0.2,0.5
lportal.csv,0.68,0.8,0.77,0.0,0.63,0.27,0.79,0.21,0.22,0.42,0.53,0.0,0.52,0.13,0.72
lufa-lib.csv,0.48,0.6,0.45,0.35,0.87,0.75,0.59,0.45,0.32,0.49,0.0,0.42,0.75,0.2,0.39
micomt.csv,0.72,0.0,0.68,0.42,0.07,0.02,0.28,0.58,0.19,0.2,0.17,0.82,0.38,0.13,0.39
sigil.csv,0.14,0.2,0.18,0.21,0.46,0.17,0.05,0.28,0.03,0.24,0.28,0.39,0.43,0.07,0.06
ultimairis.csv,0.72,0.6,0.77,0.85,0.57,0.53,0.44,0.01,0.76,0.8,0.82,0.87,0.78,0.6,0.67
voms.csv,0.05,0.0,0.45,0.0,0.0,0.0,0.03,0.01,0.27,0.0,0.01,0.11,0.0,0.07,0.0
