,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.28,0.32,0.27,0.0,0.92,0.25,0.24,0.23,0.33,0.19,0.3,0.13,0.53,0.0,0.24
arianne.csv,0.99,0.57,0.78,0.29,0.51,0.3,0.64,0.37,0.44,0.6,0.53,0.08,0.46,0.56,0.53
auber.csv,0.4,0.85,0.64,0.15,0.49,0.28,0.71,0.42,0.71,0.97,0.58,0.12,0.62,0.39,0.33
bl-toolkit.csv,0.53,0.87,0.99,0.11,0.65,0.39,0.65,0.26,0.73,0.57,0.59,0.14,0.54,0.69,0.52
growl-for-windows.csv,0.56,0.9,0.74,0.21,0.47,0.55,0.56,0.53,0.7,0.6,0.61,0.1,0.53,0.7,1.0
keyczar.csv,0.44,0.36,0.63,0.23,0.22,0.12,0.47,0.36,0.39,0.54,0.38,0.04,0.27,0.98,0.33
kml.csv,0.52,0.88,0.64,0.3,0.51,0.54,1.0,0.53,0.85,0.75,0.6,0.1,0.58,0.52,0.41
knowledge.csv,0.67,1.0,0.78,0.22,0.51,0.31,0.63,0.46,0.74,0.69,0.58,0.08,0.54,0.86,0.76
les-indemodables.csv,0.34,0.52,0.55,0.2,0.47,0.06,0.48,0.36,0.62,0.43,0.35,0.08,0.96,0.69,0.73
lportal.csv,0.45,0.37,0.46,0.0,0.22,0.13,0.28,0.32,0.06,0.27,0.27,0.88,0.33,0.11,0.71
lufa-lib.csv,0.39,0.66,0.71,0.27,0.46,0.19,0.63,0.45,0.48,0.55,0.97,0.11,0.45,0.43,0.68
micomt.csv,0.58,0.72,0.57,0.2,0.23,0.96,0.53,0.39,0.69,0.53,0.44,0.09,0.61,0.11,0.72
sigil.csv,0.45,0.84,0.58,0.16,0.63,0.47,0.31,0.45,0.98,0.57,0.35,0.08,0.41,0.31,0.24
ultimairis.csv,0.62,0.93,0.75,0.22,0.58,0.4,0.49,0.92,0.75,0.62,0.54,0.06,0.52,0.79,0.7
voms.csv,0.04,0.35,0.12,0.94,0.0,0.0,0.39,0.15,0.03,0.14,0.09,0.11,0.0,0.08,0.11
