,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.51,0.71,0.63,0.44,0.44,0.63,0.58,0.5,0.67,0.64,0.67,0.41,0.38,0.54,0.55
autowikibrowser.csv,0.54,0.41,0.56,0.33,0.57,0.43,0.5,0.46,0.58,0.4,0.39,0.67,0.46,0.36,0.4
blue-c.csv,0.66,0.47,0.6,0.46,0.64,0.54,0.76,0.5,0.62,0.55,0.42,0.38,0.57,0.51,0.54
dynalloy.csv,0.58,0.53,0.73,0.4,0.4,0.55,0.48,0.5,0.55,0.4,0.38,0.39,0.56,0.53,0.56
hydrogen.csv,0.88,0.74,0.92,0.9,0.5,0.98,0.93,0.67,0.81,0.49,0.75,0.5,0.93,0.67,0.77
jcae.csv,0.0,0.0,0.93,0.89,0.0,0.99,0.67,0.0,0.5,0.92,0.0,0.8,0.9,0.0,0.67
lphant.csv,0.53,0.44,0.42,0.28,0.47,0.47,0.53,0.43,0.57,0.42,0.4,0.5,0.52,0.38,0.4
nosleepsoftware.csv,0.57,0.54,0.68,0.36,0.75,0.59,0.94,0.76,0.77,0.38,0.5,0.75,0.62,0.44,0.48
qgo.csv,0.56,0.43,0.73,0.44,0.67,0.51,0.87,0.75,0.75,0.43,0.57,0.43,0.42,0.46,0.48
quickfast.csv,0.49,0.45,0.43,0.36,0.55,0.45,0.51,0.6,0.54,0.37,0.42,0.37,0.32,0.47,0.38
rhex.csv,0.92,0.48,0.92,0.92,0.56,1.0,0.82,0.8,0.73,0.64,0.83,0.0,0.92,0.39,0.86
rocrail.csv,0.9,0.67,0.86,0.88,0.75,0.6,0.92,0.75,0.71,0.51,0.88,0.89,0.91,0.68,0.9
virtuoso.csv,0.91,0.38,0.44,0.33,0.64,0.47,0.51,0.5,0.55,0.78,0.8,0.4,0.44,0.5,0.8
xined.csv,0.75,0.41,0.78,0.95,0.0,0.62,0.86,0.75,0.9,0.89,0.88,0.53,0.92,0.8,0.8
yield.csv,0.47,0.37,0.46,0.3,0.38,0.46,0.51,0.42,0.59,0.33,0.35,0.37,0.37,0.4,0.33
