,springside.csv,fluent-nhibernate.csv,jmule.csv,botsnscouts.csv,go.csv,freewrl.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.07,0.37,0.86,0.22,0.36,0.04,0.33,0.66,0.58
fluent-nhibernate.csv,0.3,0.19,0.28,0.33,0.27,0.25,0.2,0.24,0.42
freewrl.csv,0.9,0.99,0.59,0.74,0.87,0.33,0.99,0.68,0.8
go.csv,0.67,0.47,0.59,0.33,0.2,0.62,0.45,0.7,0.59
jmule.csv,0.62,0.4,0.14,0.81,0.29,0.29,0.58,0.6,0.59
magicwars.csv,0.55,0.99,0.93,0.89,1.0,0.0,0.09,0.83,0.78
springside.csv,0.28,0.26,0.28,0.11,0.44,0.38,0.06,0.58,0.36
turbotrader-bos.csv,0.21,0.28,0.0,0.07,0.07,0.21,0.06,0.23,0.39
xmemcached.csv,0.11,0.62,0.97,0.59,1.0,0.0,0.84,0.9,0.23
