,springside.csv,fluent-nhibernate.csv,jmule.csv,botsnscouts.csv,go.csv,freewrl.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.67,0.17,0.49,0.76,0.77,0.5,0.43,0.4,0.34
fluent-nhibernate.csv,0.33,0.35,0.65,0.57,0.76,0.54,0.54,0.46,0.36
freewrl.csv,0.34,0.09,0.55,0.57,0.65,0.73,0.31,0.39,0.28
go.csv,0.38,0.18,0.56,0.69,0.87,0.56,0.41,0.39,0.32
jmule.csv,0.39,0.18,0.84,0.52,0.81,0.7,0.36,0.43,0.32
magicwars.csv,0.47,0.09,0.47,0.49,0.64,0.0,0.76,0.35,0.26
springside.csv,0.58,0.19,0.58,0.7,0.76,0.53,0.79,0.42,0.36
turbotrader-bos.csv,0.44,0.22,0.0,0.8,0.92,0.55,0.72,0.6,0.39
xmemcached.csv,0.52,0.13,0.46,0.56,0.64,1.0,0.32,0.34,0.53
