,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.25,0.06,0.04,0.24,0.6,0.56,0.8,0.57,0.04,0.18,0.11,0.67,0.71
emono.csv,0.21,0.1,0.03,0.22,0.65,0.59,0.75,0.59,0.02,0.15,0.17,0.42,0.79
freedom-erp.csv,0.2,0.18,0.09,0.44,0.0,0.0,0.78,0.76,0.0,0.21,0.3,0.42,0.65
haggle.csv,0.15,0.27,0.0,0.5,0.74,0.77,0.83,0.0,0.14,0.36,0.22,0.5,0.77
jbpm.csv,0.17,0.43,0.0,0.5,1.0,0.0,1.0,0.77,0.0,0.09,0.0,1.0,0.0
jgossipforum.csv,0.17,0.1,0.0,0.31,0.78,0.57,0.71,0.5,0.26,0.8,0.32,0.38,0.76
joustsim.csv,0.15,0.24,0.02,0.29,0.7,0.57,0.69,0.42,0.09,0.56,0.19,0.34,0.67
log4net.csv,0.26,0.16,0.17,0.29,0.56,0.6,0.67,0.56,0.0,0.32,0.24,0.75,0.81
madman.csv,0.18,0.1,0.0,0.1,0.75,0.42,0.77,0.67,0.03,0.22,0.44,0.42,0.63
mediate.csv,0.19,0.15,0.03,0.27,0.78,0.69,0.88,0.53,0.04,0.19,0.25,0.54,0.82
pustefix.csv,0.0,0.26,0.03,0.53,0.54,0.25,0.76,0.67,0.0,0.0,0.12,0.45,0.6
synecdoche.csv,0.25,0.13,0.03,0.29,0.72,0.62,0.85,0.63,0.03,0.16,0.15,0.63,0.66
tmva.csv,0.22,0.12,0.02,0.21,0.64,0.57,0.86,0.58,0.02,0.15,0.21,0.55,0.75
