,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.52,0.35,0.6,0.17,0.69,0.17
kmess.csv,0.09,0.44,0.3,0.24,0.0,0.68
minig.csv,0.29,0.34,0.56,0.48,0.02,0.29
ossbuild.csv,0.19,0.36,0.32,0.43,0.0,0.27
rezilla.csv,0.52,0.19,0.32,0.07,0.0,0.43
webdriver.csv,0.13,0.61,0.51,0.0,0.48,0.54
