,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.8,1.0,0.72,0.92,0.92
elmo.csv,0.6,0.29,0.42,0.41,0.35
mscore.csv,0.4,0.88,0.91,0.95,0.68
tolven.csv,0.2,0.4,0.8,0.76,0.36
xbplayer.csv,0.0,0.64,0.55,0.95,0.53
