,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.68,0.0,0.73,0.77,0.17
elmo.csv,0.62,0.33,0.46,0.46,0.4
mscore.csv,0.43,0.68,0.61,0.62,0.69
tolven.csv,0.23,0.45,0.68,0.76,0.41
xbplayer.csv,0.0,0.65,0.58,0.77,0.56
