,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,chaosrts.csv
chaosrts.csv,0.42,0.61,0.44,0.77,0.83,0.28
lazarus-ccr.csv,0.27,0.83,0.69,0.79,1.01,0.75
lcfizvtop.csv,0.76,0.63,0.72,0.89,0.25,0.73
migen.csv,0.71,0.44,0.92,0.67,0.75,0.78
mvnforum.csv,0.96,0.74,0.6,0.86,0.91,0.96
plplot.csv,0.96,0.57,0.8,0.43,0.57,0.62
