,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,wheat.csv,panda3d.csv
benojt.csv,0.27,0.0,0.0,1.0,0.09,0.0,0.0
jahshaka.csv,0.39,0.85,0.44,0.49,0.0,0.33,0.6
jatlas.csv,0.34,0.0,0.0,0.19,1.0,0.0,0.0
jedit.csv,0.96,0.4,0.45,0.63,0.43,0.36,0.39
open-media-library.csv,0.54,0.49,0.98,0.54,0.59,0.52,0.54
panda3d.csv,0.29,0.0,0.12,0.16,0.24,0.43,0.91
wheat.csv,0.52,0.45,0.51,0.33,0.61,1.0,0.36
