,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,wheat.csv,panda3d.csv
benojt.csv,0.93,1.0,1.0,1.0,1.0,1.0,1.0
jahshaka.csv,0.34,0.82,0.42,0.46,0.0,0.29,0.88
jatlas.csv,0.3,0.0,0.0,0.16,1.0,0.0,0.0
jedit.csv,0.95,0.36,0.42,0.58,0.4,0.32,0.35
open-media-library.csv,0.57,0.45,0.98,0.64,0.6,0.5,0.52
panda3d.csv,0.25,0.0,0.1,0.13,0.2,0.39,0.9
wheat.csv,0.48,0.45,0.52,0.28,0.6,1.0,0.33
