,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.0,0.06,0.5,0.01,0.08,0.01
fluent-nhibernate.csv,0.09,0.02,0.5,0.03,0.08,0.0
h2database.csv,0.14,0.0,0.21,0.12,0.54,0.07
jaql.csv,0.27,0.26,0.44,0.0,0.08,0.18
raven-monitoring.csv,0.58,0.58,0.0,0.33,0.54,0.61
v8.csv,0.84,0.88,1.0,0.96,0.08,0.95
