,forester-atv.csv,adonthell.csv,chaperon.csv,yarp0.csv,pokenetonline.csv,gephex.csv,primefaces.csv,rcp-company-uibindings.csv
adonthell.csv,0.7,0.23,0.46,0.5,0.2,0.95,0.48,0.1
chaperon.csv,0.45,0.33,0.1,0.37,0.4,0.32,0.15,0.1
forester-atv.csv,0.25,0.0,0.02,0.08,0.52,0.05,0.0,0.3
gephex.csv,0.57,0.73,0.75,0.74,0.88,0.24,0.26,0.4
pokenetonline.csv,0.85,0.96,0.81,0.89,0.2,0.9,0.74,0.5
primefaces.csv,0.75,1.0,0.62,1.0,1.0,1.0,0.19,0.6
rcp-company-uibindings.csv,0.62,0.42,0.23,0.32,0.12,0.51,0.52,0.0
yarp0.csv,0.45,0.73,0.71,0.24,0.56,0.44,0.3,0.4
