,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.03,0.34,0.25,0.27,0.31,0.09,0.28,0.0,0.16,0.32,0.13,0.15,0.25
bscwweasel.csv,0.0,0.04,0.02,0.0,0.04,0.02,0.13,0.1,0.0,0.0,0.01,0.0,0.0
capcode.csv,0.0,0.15,0.05,0.21,0.04,0.04,0.0,0.2,0.23,0.07,0.01,0.15,0.31
emite.csv,0.45,0.51,0.43,0.2,0.49,0.31,0.34,0.41,0.14,0.97,0.6,0.0,0.44
extprosys.csv,0.83,0.88,0.93,0.99,0.87,0.01,0.94,0.95,0.94,0.54,0.84,0.9,0.88
lamp.csv,0.0,0.0,0.02,0.02,0.09,0.04,0.04,0.28,0.02,0.1,0.02,0.0,0.06
retromenu.csv,0.07,0.05,0.05,0.04,0.0,0.01,0.18,0.1,0.01,0.0,0.03,0.0,0.0
smbopensoft.csv,0.02,0.38,0.26,0.27,0.38,0.15,0.37,0.02,0.19,0.54,0.28,0.22,0.44
snakeyaml.csv,0.02,0.62,0.61,0.46,0.33,0.09,0.31,0.61,0.27,0.37,0.0,0.7,0.62
stuproa-cims.csv,0.69,0.83,0.81,0.39,0.89,0.9,0.69,1.0,0.0,0.73,0.83,0.75,0.94
ta3d.csv,0.94,0.6,0.83,0.54,0.67,0.73,0.54,0.08,0.59,0.54,0.87,0.7,0.06
thout.csv,0.0,0.47,0.0,0.42,0.38,0.22,0.35,0.52,0.29,0.24,0.12,0.45,0.62
vrjuggler.csv,0.06,0.45,0.5,0.89,0.56,0.3,0.72,0.04,0.81,0.0,0.58,0.8,0.38
