,recall,precision,pf,wins
abbot.csv,0.82,0.42,0.7,176
acdk.csv,0.44,0.52,0.24,596
acegisecurity.csv,0.64,0.44,0.48,367
adobe-source.csv,0.48,0.47,0.36,455
adonthell.csv,0.52,0.39,0.47,244
aime.csv,0.3,0.34,0.29,272
alembik.csv,0.27,0.56,0.13,610
algebsql.csv,0.39,0.34,0.5,96
all-plasm.csv,0.33,0.43,0.29,400
alleg.csv,0.5,0.4,0.42,293
alpine.csv,0.73,0.41,0.6,225
alsa.csv,0.67,0.45,0.5,373
amateur-scrolls.csv,0.2,0.33,0.15,394
ambulant.csv,0.64,0.39,0.62,137
amygdala.csv,0.4,0.4,0.37,293
anaxagora.csv,0.62,0.42,0.48,325
apertium.csv,0.34,0.39,0.29,366
apolloplayer.csv,0.58,0.42,0.43,375
applet2app.csv,0.58,0.5,0.35,553
arcallians.csv,0.66,0.44,0.51,339
archive-crawler.csv,0.43,0.42,0.36,365
ardour.csv,0.5,0.51,0.3,567
arianne.csv,0.95,0.38,0.93,21
arm-webradio.csv,0.4,0.41,0.37,309
array4j.csv,0.59,0.36,0.62,91
arsenal-1.csv,0.25,0.48,0.17,550
atlc.csv,0.69,0.39,0.68,105
atomsite.csv,0.71,0.41,0.65,162
auber.csv,0.8,0.41,0.72,128
aubit4gl.csv,0.14,0.4,0.13,460
aufs.csv,0.27,0.33,0.26,279
autat.csv,0.29,0.5,0.17,581
autofac.csv,0.58,0.45,0.44,390
autoopencas.csv,0.3,0.27,0.45,58
autowikibrowser.csv,0.67,0.46,0.48,409
avisynth2.csv,0.03,0.33,0.02,459
aztec.csv,0.36,0.5,0.21,578
azureus.csv,0.85,0.4,0.81,73
bacnet.csv,0.45,0.46,0.32,476
bacula.csv,0.72,0.43,0.59,257
badtrinity-zero.csv,0.44,0.44,0.33,435
badtrinitycore.csv,0.34,0.44,0.26,463
barracudamvc.csv,0.93,0.36,0.97,2
bdbbasic.csv,0.46,0.41,0.35,385
beast-mcmc.csv,0.73,0.46,0.57,317
benojt.csv,1.0,0.38,1.0,4
betoffice.csv,0.71,0.33,0.84,0
bibedt.csv,0.55,0.45,0.39,438
bibletime.csv,0.7,0.43,0.53,319
bigdata.csv,0.44,0.42,0.37,359
biodwh.csv,0.31,0.52,0.16,600
bionote.csv,0.35,0.51,0.19,593
biopax.csv,1.0,0.38,0.99,8
bl-toolkit.csv,0.7,0.38,0.71,79
blogentis.csv,0.52,0.37,0.65,54
bloodycore.csv,0.21,0.4,0.18,437
blue-c.csv,0.77,0.42,0.64,210
bnetd.csv,0.76,0.39,0.69,123
bochs.csv,0.71,0.39,0.62,177
boost-sandbox.csv,0.56,0.37,0.55,152
boost.csv,0.61,0.46,0.43,436
botsnscouts.csv,0.63,0.47,0.43,460
brlcad.csv,0.28,0.47,0.18,549
bscwweasel.csv,0.27,0.47,0.18,542
buddata-ebxml-registry.csv,0.97,0.38,0.94,23
bullet.csv,0.61,0.39,0.57,177
bulmages.csv,0.18,0.33,0.13,410
bwapi.csv,0.95,0.37,0.96,7
bzbyte.csv,0.25,0.11,0.2,140
calcubetimer.csv,0.73,0.4,0.65,166
capcode.csv,0.57,0.39,0.58,142
carabiner.csv,0.68,0.44,0.52,338
cascading.csv,0.68,0.43,0.52,319
chaosrts.csv,0.53,0.42,0.43,338
chaperon.csv,0.41,0.36,0.44,189
checker-framework.csv,0.86,0.39,0.81,69
chipster.csv,0.15,0.39,0.12,468
chrysalis.csv,0.47,0.5,0.29,558
cities3d.csv,0.27,0.38,0.21,416
clamav.csv,0.74,0.41,0.6,234
cleartk.csv,0.74,0.41,0.65,181
cme.csv,0.0,0.0,0.0,132
co-ode-owl-plugins.csv,0.5,0.41,0.45,270
codeblocks.csv,0.63,0.46,0.42,465
codepurge.csv,0.52,0.45,0.4,402
codesmith.csv,0.64,0.38,0.65,101
columba.csv,0.64,0.45,0.45,417
continuum-ide.csv,0.17,0.4,0.16,439
coot.csv,0.5,0.35,0.48,184
cornerstone.csv,0.26,0.53,0.13,604
cortex-vfx.csv,0.39,0.52,0.23,585
critterding.csv,0.88,0.38,0.85,49
crux-framework.csv,0.27,0.42,0.23,432
ctrlr.csv,0.24,0.29,0.34,140
cubefs.csv,0.53,0.4,0.5,217
cuberok.csv,0.57,0.43,0.46,331
customsagetv.csv,0.15,0.5,0.09,586
customwars.csv,0.51,0.49,0.33,529
dataobjectsdotnet.csv,0.64,0.4,0.54,242
decidr.csv,0.86,0.39,0.81,69
delphilhlplib.csv,0.67,0.43,0.52,310
doomlegacy.csv,0.72,0.47,0.59,287
dspace-gsoc.csv,0.7,0.44,0.56,280
dsworkbench.csv,0.08,0.33,0.07,424
dvd-create.csv,0.73,0.42,0.6,242
dvt.csv,0.32,0.44,0.25,463
dxengine.csv,0.34,0.38,0.32,301
dynalloy.csv,0.64,0.39,0.6,160
e-bio-flow.csv,0.31,0.47,0.19,557
echongl.csv,0.5,0.43,0.42,342
elateportal.csv,0.58,0.4,0.49,264
electric-core.csv,0.76,0.43,0.6,267
elvishrayrenderer.csv,0.35,0.38,0.33,290
emeraldemu.csv,0.42,0.48,0.3,499
emftriple.csv,0.15,0.27,0.23,200
emisview.csv,0.2,0.43,0.12,535
emite.csv,0.27,0.45,0.2,501
emono.csv,0.68,0.4,0.68,109
empserver.csv,0.76,0.4,0.68,145
emulemorph.csv,0.03,0.25,0.01,383
encog-cs.csv,0.78,0.37,0.79,51
enlightenment.csv,1.0,0.38,1.0,4
enzo.csv,0.94,0.38,0.91,28
esmf.csv,0.67,0.42,0.56,250
etherboot.csv,0.48,0.17,0.31,201
etics.csv,0.4,0.54,0.21,603
exist.csv,0.94,0.4,0.9,43
exl.csv,0.51,0.41,0.46,266
exordium.csv,0.62,0.47,0.44,443
