,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.53,0.58,0.76,0.66
emftriple.csv,0.0,0.91,0.0,0.97
fluent-nhibernate.csv,0.96,0.98,0.94,0.85
gpsmid.csv,0.43,0.43,0.42,0.74
