,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,google-collections.csv
adonthell.csv,0.85,0.82,,0.54,0.12,0.57,0.15,0.5,0.52,1.0,0.92,0.84,0.76,1.0,0.15,0.93,0.44,0.12
avisynth2.csv,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.05,,0.04,0.05,0.24,0.0,0.0,0.0,0.02,0.1
coot.csv,0.46,0.18,0.43,0.67,0.94,0.76,0.65,0.88,0.6,0.0,0.65,0.45,0.06,0.61,,0.72,0.78,0.92
dsworkbench.csv,0.96,,0.88,0.89,1.0,0.73,0.95,0.88,0.75,1.0,0.96,0.95,0.76,0.93,0.8,0.9,0.83,0.94
forester-atv.csv,,0.3,0.02,0.11,0.06,0.11,0.3,0.25,0.27,0.0,0.15,0.19,0.12,0.0,0.05,0.0,0.13,0.0
freelords.csv,0.96,1.0,1.0,,0.94,0.89,1.0,1.0,1.0,1.0,0.96,0.99,1.0,1.0,1.0,1.0,0.88,0.92
gabel.csv,0.08,0.0,0.0,0.01,0.24,0.03,0.0,,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0
geotools.csv,0.35,0.56,0.35,0.19,0.12,0.3,0.25,0.25,0.35,1.0,0.46,,1.0,0.24,0.0,0.28,0.44,0.35
gephex.csv,0.35,1.0,1.0,0.81,0.88,0.84,0.55,0.62,1.0,0.33,1.0,0.86,0.82,,0.98,0.9,0.63,0.39
google-collections.csv,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,
jpaul.csv,0.38,0.3,0.08,0.34,,0.22,0.1,0.88,0.28,0.33,0.46,0.47,0.12,0.04,0.0,0.0,0.19,0.24
neodatis-odb.csv,0.58,0.3,0.18,0.3,0.59,,0.45,0.38,0.12,1.0,0.15,0.31,0.06,0.51,0.48,0.66,0.84,0.74
pokenetonline.csv,0.92,1.0,0.98,0.81,0.82,0.89,0.9,1.0,,1.0,0.96,0.96,0.88,0.99,0.95,1.0,0.85,0.7
rcp-company-uibindings.csv,0.85,1.0,0.62,0.96,0.82,0.7,0.55,1.0,0.67,1.0,0.88,0.81,0.65,0.79,0.88,0.79,,0.95
scenemonitor.csv,0.58,0.72,0.2,0.08,0.24,0.3,,0.12,0.13,0.33,0.31,0.19,0.71,0.34,0.0,0.03,0.36,0.31
servicestack.csv,0.54,0.12,0.0,0.03,0.06,0.11,0.05,0.0,0.0,0.0,0.15,0.06,,0.0,0.0,0.0,0.11,0.0
synecdoche.csv,0.46,0.36,0.33,0.81,0.24,0.41,0.6,0.38,0.22,0.0,0.65,0.51,0.41,0.49,0.12,,0.47,0.49
twostep.csv,0.96,0.86,0.42,0.56,0.47,0.65,0.7,1.0,0.85,1.0,,0.68,0.76,0.8,0.68,0.38,0.36,0.09
