,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,google-collections.csv
adonthell.csv,0.79,0.89,,0.54,0.94,0.91,0.86,0.62,0.51,1.0,0.65,0.62,0.73,1.0,0.89,1.0,0.59,0.88
avisynth2.csv,1.0,0.9,1.0,1.0,1.0,1.0,0.9,1.0,0.95,,0.96,0.95,0.77,1.0,1.0,1.0,0.98,0.9
coot.csv,0.94,0.82,0.7,0.75,0.98,0.96,0.64,0.87,0.93,1.04,0.87,0.9,0.94,0.79,,0.75,0.93,1.0
dsworkbench.csv,0.75,,0.84,0.69,0.8,0.93,0.81,0.66,0.69,0.92,1.0,0.81,0.65,0.95,0.86,0.94,0.82,0.5
forester-atv.csv,,0.83,0.98,0.9,0.94,0.89,0.71,0.76,0.73,1.0,0.85,0.83,0.88,1.0,0.95,1.0,0.87,1.0
freelords.csv,0.93,1.0,1.0,,0.88,1.01,1.0,0.87,1.0,1.0,1.0,0.91,0.96,1.0,1.0,1.0,0.91,1.0
gabel.csv,0.92,1.0,1.0,0.99,0.77,0.98,1.0,,0.9,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.95,1.0
geotools.csv,0.71,0.71,0.67,0.82,0.92,0.76,0.75,0.77,0.65,0.92,0.54,,0.87,0.77,1.0,0.76,0.59,0.65
gephex.csv,0.87,1.0,1.0,0.57,0.74,0.79,0.61,0.89,1.0,0.94,1.0,0.69,0.87,,0.97,1.01,0.7,0.61
google-collections.csv,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
jpaul.csv,0.66,0.83,0.92,0.66,,0.83,0.9,0.33,0.78,0.69,0.57,0.73,0.88,0.96,1.0,1.0,0.81,0.76
neodatis-odb.csv,0.78,0.7,0.82,0.77,0.95,,0.63,0.87,0.89,0.68,0.87,0.78,0.96,0.69,0.56,0.78,0.72,1.03
pokenetonline.csv,0.85,1.0,0.96,0.6,0.61,0.85,0.6,0.82,,1.0,0.82,0.76,0.62,0.95,0.87,0.95,0.62,0.3
rcp-company-uibindings.csv,0.81,1.0,0.86,0.82,0.56,0.88,0.77,0.59,0.49,0.69,0.63,0.7,0.63,0.86,0.77,0.77,,1.0
scenemonitor.csv,0.57,0.74,0.82,0.92,0.77,0.77,,0.88,0.87,0.68,0.7,0.82,0.7,0.77,1.0,0.97,0.67,0.69
servicestack.csv,0.51,0.9,1.0,0.97,0.94,0.89,0.95,1.0,1.0,1.0,0.85,0.94,,1.0,1.0,1.0,0.89,1.0
synecdoche.csv,0.66,0.74,0.69,0.64,0.84,0.78,0.77,0.76,0.81,1.01,0.91,0.61,0.8,0.67,0.88,,0.57,0.51
twostep.csv,0.7,0.82,0.6,0.53,0.56,0.75,0.51,0.5,0.62,0.87,,0.65,0.48,0.71,0.48,0.66,0.67,0.91
