,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,google-collections.csv
adonthell.csv,2.0,1.0,,0.0,11.0,0.0,2.0,0.0,1.0,35.0,10.0,10.0,0.0,0.0,2.0,3.0,0.0,0.0
avisynth2.csv,65.0,0.0,107.0,106.0,57.0,106.0,0.0,99.0,1.0,,0.0,0.0,3.0,111.0,76.0,71.0,0.0,0.0
coot.csv,3.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,4.0,64.0,0.0,34.0,2.0,0.0,,3.0,0.0,0.0
dsworkbench.csv,3.0,,1.0,1.0,0.0,0.0,10.0,31.0,0.0,31.0,19.0,15.0,0.0,0.0,5.0,3.0,0.0,0.0
forester-atv.csv,,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,64.0,0.0,1.0,1.0,111.0,1.0,71.0,0.0,81.0
freelords.csv,0.0,3.0,1.0,,1.0,0.0,0.0,8.0,0.0,35.0,19.0,21.0,0.0,0.0,1.0,3.0,0.0,0.0
gabel.csv,1.0,65.0,107.0,1.0,0.0,3.0,51.0,,1.0,64.0,70.0,2.0,62.0,111.0,76.0,71.0,0.0,81.0
geotools.csv,0.0,2.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,30.0,0.0,,0.0,0.0,76.0,2.0,0.0,0.0
gephex.csv,3.0,3.0,1.0,0.0,1.0,0.0,7.0,14.0,0.0,39.0,0.0,6.0,1.0,,1.0,3.0,0.0,0.0
google-collections.csv,3.0,3.0,1.0,1.0,1.0,0.0,0.0,20.0,0.0,35.0,0.0,35.0,0.0,0.0,1.0,3.0,0.0,
jpaul.csv,1.0,1.0,0.0,0.0,,0.0,1.0,3.0,3.0,10.0,4.0,24.0,0.0,0.0,76.0,71.0,0.0,0.0
neodatis-odb.csv,2.0,0.0,0.0,1.0,12.0,,0.0,40.0,2.0,27.0,0.0,20.0,6.0,0.0,0.0,2.0,0.0,0.0
pokenetonline.csv,3.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,,35.0,13.0,12.0,0.0,0.0,1.0,3.0,0.0,0.0
rcp-company-uibindings.csv,2.0,3.0,1.0,0.0,3.0,2.0,7.0,2.0,3.0,18.0,6.0,11.0,8.0,0.0,2.0,2.0,,0.0
scenemonitor.csv,0.0,2.0,0.0,0.0,1.0,0.0,,5.0,0.0,3.0,3.0,1.0,6.0,0.0,76.0,3.0,1.0,0.0
servicestack.csv,0.0,2.0,107.0,0.0,1.0,1.0,1.0,99.0,84.0,64.0,1.0,2.0,,111.0,76.0,71.0,0.0,81.0
synecdoche.csv,4.0,0.0,2.0,0.0,13.0,1.0,8.0,26.0,1.0,64.0,19.0,12.0,0.0,0.0,1.0,,0.0,0.0
twostep.csv,2.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,30.0,,30.0,0.0,0.0,0.0,2.0,0.0,0.0
