,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,google-collections.csv
adonthell.csv,0.54,0.38,,0.57,0.14,0.42,0.18,0.52,0.56,0.0,0.7,0.69,0.58,0.0,0.18,0.0,0.48,0.15
avisynth2.csv,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.06,,0.05,0.06,0.28,0.0,0.0,0.0,0.02,0.12
coot.csv,0.38,0.21,0.45,0.55,0.09,0.26,0.6,0.43,0.39,0.0,0.45,0.41,0.07,0.52,,0.56,0.33,0.0
dsworkbench.csv,0.61,,0.48,0.66,0.56,0.34,0.53,0.68,0.62,0.3,0.0,0.53,0.64,0.21,0.44,0.27,0.51,0.8
forester-atv.csv,,0.33,0.02,0.13,0.07,0.13,0.35,0.29,0.32,0.0,0.18,0.22,0.15,0.0,0.06,0.0,0.16,0.0
freelords.csv,0.3,0.0,0.0,,0.4,0.0,0.0,0.43,0.0,0.0,0.0,0.33,0.17,0.0,0.0,0.0,0.34,0.0
gabel.csv,0.1,0.0,0.0,0.01,0.28,0.04,0.0,,0.12,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0
geotools.csv,0.39,0.53,0.4,0.23,0.14,0.34,0.29,0.29,0.4,0.3,0.51,,0.43,0.28,0.0,0.32,0.48,0.4
gephex.csv,0.36,0.0,0.0,0.7,0.61,0.55,0.56,0.44,0.0,0.33,0.0,0.65,0.43,,0.13,0.0,0.57,0.44
google-collections.csv,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
jpaul.csv,0.42,0.33,0.1,0.39,,0.26,0.12,0.84,0.32,0.38,0.5,0.48,0.15,0.05,0.0,0.0,0.23,0.28
neodatis-odb.csv,0.51,0.35,0.21,0.34,0.37,,0.48,0.38,0.15,0.7,0.18,0.35,0.07,0.51,0.52,0.53,0.62,0.0
pokenetonline.csv,0.45,0.0,0.17,0.69,0.68,0.47,0.73,0.52,,0.0,0.51,0.6,0.7,0.21,0.44,0.21,0.69,0.74
rcp-company-uibindings.csv,0.52,0.0,0.46,0.51,0.71,0.43,0.5,0.78,0.66,0.69,0.7,0.63,0.61,0.46,0.57,0.56,,0.0
scenemonitor.csv,0.59,0.57,0.24,0.1,0.28,0.34,,0.15,0.16,0.38,0.36,0.23,0.6,0.37,0.0,0.04,0.4,0.36
servicestack.csv,0.58,0.14,0.0,0.04,0.07,0.13,0.06,0.0,0.0,0.0,0.18,0.07,,0.0,0.0,0.0,0.13,0.0
synecdoche.csv,0.49,0.39,0.37,0.67,0.27,0.43,0.52,0.41,0.26,0.0,0.4,0.53,0.42,0.5,0.15,,0.51,0.55
twostep.csv,0.67,0.5,0.47,0.58,0.51,0.55,0.67,0.83,0.69,0.43,,0.61,0.72,0.62,0.67,0.42,0.4,0.11
