,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.32,0.12,0.03,0.65,0.3,0.5,0.4,1.0,0.55,0.76,0.29,0.87,0.94,0.83,0.02,0.48
bdbbasic.csv,0.36,0.08,0.03,0.62,0.22,0.4,0.5,1.0,0.61,0.72,0.4,0.89,0.99,0.9,0.02,0.5
crux-framework.csv,0.26,0.24,0.11,0.44,1.0,0.22,0.4,0.8,0.2,1.0,0.27,0.85,0.0,0.66,0.21,0.29
echongl.csv,0.35,0.12,0.04,0.53,0.25,0.35,0.54,1.0,0.42,0.93,0.32,0.8,0.98,0.71,0.02,0.47
etherboot.csv,1.0,0.55,0.0,0.0,0.37,1.0,0.0,0.89,0.57,0.0,0.19,1.0,0.98,0.0,0.04,0.47
freebios.csv,0.22,0.21,0.03,0.52,0.25,0.25,0.78,0.57,0.21,0.87,0.15,0.69,0.99,0.4,0.04,0.67
gebr.csv,0.3,0.14,0.03,0.62,0.29,0.32,0.42,0.9,0.28,0.72,0.19,0.82,0.98,0.67,0.03,0.47
glelite.csv,0.34,0.15,0.04,0.54,0.27,0.33,0.5,0.82,0.28,0.72,0.18,0.78,1.0,0.58,0.03,0.45
gnukeda.csv,0.33,0.17,0.03,0.75,0.23,0.59,0.35,0.75,0.0,0.07,0.16,0.75,1.0,1.0,0.01,0.49
google-gears.csv,0.42,0.17,0.05,0.74,0.28,0.34,0.48,0.77,0.31,0.72,0.26,0.9,0.98,0.65,0.04,0.47
gstreamer.csv,0.31,0.12,0.01,0.66,0.25,0.32,0.45,0.91,0.3,0.71,0.25,0.81,0.98,0.8,0.03,0.47
jnode.csv,0.33,0.19,0.15,0.5,0.14,0.0,0.7,0.58,0.33,0.71,0.25,0.65,1.0,0.2,0.04,0.5
metacosm.csv,0.5,0.15,0.05,0.7,0.18,0.67,0.5,0.98,0.5,0.66,0.22,0.9,0.97,0.78,0.05,0.78
openmeetings.csv,0.59,0.4,0.07,0.86,0.28,0.5,0.5,1.0,0.55,0.71,0.35,0.84,1.0,0.87,0.06,0.62
tradelink.csv,0.43,0.13,0.03,0.7,0.27,0.41,0.5,0.87,0.54,0.83,0.38,0.72,0.97,0.67,0.03,0.5
wxcrp.csv,0.47,0.12,0.04,0.52,0.27,0.37,0.44,0.72,0.36,0.8,0.27,0.78,0.98,0.62,0.03,0.44
