,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.47,0.09,0.33,1.0,0.75,0.44,0.7,0.55,0.36,0.13,0.39,0.62,0.39,0.13,0.43,0.36
betoffice.csv,0.13,0.37,0.3,0.26,0.3,0.11,0.35,0.95,0.16,0.74,0.47,0.53,0.25,0.46,0.19,0.38
bnetd.csv,0.71,0.81,0.37,0.62,0.71,0.49,0.38,0.45,0.48,0.57,0.97,0.9,0.4,0.69,0.37,0.75
elvishrayrenderer.csv,0.75,0.79,0.31,0.51,0.74,0.45,0.68,0.47,0.43,0.81,0.64,0.81,0.48,0.68,0.44,0.96
emisview.csv,0.05,0.04,0.0,0.44,0.31,1.0,0.0,0.12,0.06,0.0,0.0,0.26,0.22,0.3,0.12,0.11
findbugs.csv,0.66,0.79,0.4,0.32,0.53,0.31,0.13,0.36,0.47,0.27,0.51,0.37,0.94,0.52,0.24,0.57
hazelcast.csv,0.85,0.79,0.46,0.55,1.0,0.48,0.69,0.56,0.44,0.83,0.68,0.92,0.43,0.74,0.54,0.74
jitterbit.csv,0.41,0.81,0.3,0.31,0.59,0.4,0.24,0.29,0.98,0.46,0.62,0.2,0.55,0.7,0.3,0.44
jppf-project.csv,0.85,0.9,0.32,0.45,0.88,0.43,0.72,0.65,0.33,0.93,0.65,1.0,0.54,0.74,0.43,0.75
megasquirtavr.csv,0.89,0.54,0.89,0.43,0.89,0.47,0.66,0.56,0.4,0.56,0.48,0.88,0.54,0.55,0.51,0.59
stajistics.csv,0.58,0.29,0.32,0.4,0.66,0.36,0.2,0.32,0.29,0.61,0.17,0.68,0.3,0.59,0.93,0.7
trackit.csv,0.65,0.82,0.37,0.39,0.63,0.22,1.0,0.53,0.24,0.52,0.18,0.61,0.46,0.62,0.29,0.44
tweetsharp.csv,0.68,0.59,0.18,0.25,0.2,0.41,0.26,0.41,0.31,0.6,0.72,0.58,0.36,0.95,0.16,0.34
wxlua.csv,0.75,0.9,0.29,0.46,0.87,0.29,0.72,0.65,0.38,0.99,0.49,0.75,0.43,0.77,0.4,0.67
x4x.csv,0.99,0.9,0.26,0.31,0.83,0.18,0.73,0.4,0.3,0.39,0.46,0.82,0.33,0.33,0.44,0.33
xharbour.csv,0.86,0.99,0.38,0.47,0.91,0.44,0.78,0.65,0.43,0.73,0.68,0.84,0.56,0.84,0.47,0.78
