,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.92,0.86,0.54,0.59,0.49,0.48,0.52,0.49,0.75,0.83,0.78,0.49,0.66,0.8,0.53,0.82
betoffice.csv,0.8,0.97,0.86,0.81,0.92,0.92,0.91,0.6,0.78,0.81,0.61,0.74,0.92,0.95,0.95,0.89
bnetd.csv,0.38,0.39,0.51,0.39,0.49,0.53,0.55,0.51,0.48,0.69,0.51,0.34,0.32,0.39,0.69,0.37
elvishrayrenderer.csv,0.37,0.36,0.7,0.4,0.49,0.4,0.59,0.49,0.49,0.46,0.67,0.33,0.43,0.57,0.57,0.4
emisview.csv,0.0,0.5,0.0,0.58,0.9,0.65,0.0,0.75,0.95,0.0,0.0,0.94,0.72,0.92,0.75,0.5
findbugs.csv,0.48,0.32,0.7,0.73,0.48,0.94,0.75,0.68,0.67,0.79,0.55,0.86,0.68,0.69,0.95,0.46
hazelcast.csv,0.32,0.31,0.44,0.33,0.35,0.29,0.39,0.39,0.34,0.46,0.37,0.31,0.27,0.32,0.4,0.33
jitterbit.csv,0.62,0.45,0.64,0.94,0.52,0.64,0.9,0.94,0.73,0.97,0.56,0.9,0.61,0.59,0.76,0.7
jppf-project.csv,0.34,0.39,0.61,0.41,0.42,0.32,0.45,0.4,0.42,0.55,0.44,0.35,0.32,0.49,0.49,0.41
megasquirtavr.csv,0.33,0.76,0.81,0.44,0.39,0.31,0.44,0.44,0.45,0.6,0.61,0.36,0.38,0.53,0.43,0.5
stajistics.csv,0.55,0.93,0.88,0.44,0.56,0.55,0.88,0.83,0.89,0.67,0.88,0.36,0.5,0.66,0.63,0.52
trackit.csv,0.58,0.44,0.73,0.5,0.65,0.73,0.54,0.61,0.63,0.82,0.94,0.56,0.51,0.5,0.63,0.67
tweetsharp.csv,0.44,0.71,0.5,0.76,0.83,0.41,0.69,0.87,0.7,0.67,0.45,0.59,0.56,0.5,0.9,0.92
wxlua.csv,0.42,0.39,0.57,0.43,0.43,0.94,0.46,0.44,0.57,0.52,0.52,0.53,0.46,0.43,0.52,0.34
x4x.csv,0.42,0.38,0.91,0.7,0.47,0.68,0.51,0.74,0.52,0.96,0.6,0.42,0.59,0.83,0.53,0.71
xharbour.csv,0.34,0.39,0.55,0.43,0.41,0.32,0.4,0.42,0.38,0.47,0.42,0.38,0.34,0.39,0.44,0.4
