,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.83,0.53,0.85,0.69,0.67,0.05,1.16,0.75,0.72,0.78,0.66,0.78,0.73,0.61,0.76,0.83,0.82
codepurge.csv,0.89,0.45,0.87,0.63,0.88,0.8,0.1,0.59,0.81,0.78,0.86,0.86,0.71,0.12,0.63,0.79,0.88
fontforge.csv,0.96,0.72,0.83,0.84,0.91,0.89,0.12,0.04,0.9,0.81,0.91,0.84,0.78,0.56,0.69,0.71,0.82
gmerlin.csv,0.81,0.74,0.84,0.78,0.91,0.72,0.33,0.64,0.64,0.55,0.67,0.51,0.82,0.88,0.96,0.09,0.9
hatari.csv,0.72,0.65,0.07,0.74,0.67,0.58,0.63,0.82,0.72,0.73,0.69,0.91,0.7,0.68,0.72,0.64,0.71
jaolt.csv,0.77,0.84,0.69,0.76,0.99,0.76,0.85,0.91,0.61,0.95,0.72,0.72,0.03,0.73,0.87,0.72,0.78
jcl.csv,0.9,0.94,1.0,0.89,0.98,0.98,1.01,1.0,0.85,0.98,0.99,0.79,1.0,0.9,0.0,0.94,0.93
ltp.csv,0.9,0.86,0.83,0.8,0.02,0.97,1.0,0.88,0.89,0.97,0.98,0.9,0.86,0.92,0.86,0.94,0.96
mia.csv,0.9,0.61,0.82,0.81,1.0,0.77,0.23,1.0,0.71,0.83,0.88,0.06,0.79,0.8,0.9,0.99,0.97
net-snmp.csv,0.0,0.8,0.56,0.86,0.63,0.58,0.37,0.97,0.88,0.63,0.57,0.7,0.73,0.81,0.86,0.6,0.64
opde.csv,0.58,0.7,0.67,0.04,0.73,0.71,1.03,0.88,0.85,0.78,0.66,0.81,0.61,0.84,0.92,0.71,0.88
oppna-program-hsatools.csv,0.85,0.75,0.94,0.98,0.94,0.64,1.0,1.0,0.93,1.0,0.0,1.0,0.93,0.73,0.96,0.78,0.92
powerfolder-.csv,0.9,0.01,1.0,0.69,0.92,0.78,1.0,0.88,0.78,0.78,0.79,0.84,0.72,0.89,0.68,0.69,0.89
qlc.csv,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.96,0.01,0.88,1.0,0.79,0.97,1.0,0.86,1.0,0.92
quantlib.csv,0.8,0.74,0.79,0.71,0.77,0.83,0.31,0.84,0.87,0.93,0.91,0.56,0.96,0.65,0.61,0.84,0.08
tcl.csv,0.81,0.86,0.77,0.92,0.86,0.9,1.01,0.72,0.89,0.0,0.87,0.84,0.9,0.96,0.95,0.88,1.0
