,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.49,0.58,0.46,0.52,0.46,0.96,0.0,0.54,0.57,0.54,0.51,0.36,0.44,0.55,0.33,0.49,0.44
codepurge.csv,0.14,0.68,0.17,0.44,0.4,0.25,0.98,0.58,0.26,0.55,0.17,0.2,0.37,0.9,0.47,0.26,0.2
fontforge.csv,0.06,0.47,0.2,0.19,0.13,0.17,0.97,0.97,0.13,0.3,0.12,0.2,0.3,0.51,0.46,0.35,0.29
gmerlin.csv,0.24,0.36,0.2,0.32,0.17,0.34,0.91,0.68,0.52,0.62,0.4,0.59,0.25,0.15,0.17,0.92,0.14
hatari.csv,0.6,0.62,0.94,0.54,0.59,0.65,0.75,0.44,0.61,0.55,0.53,0.41,0.56,0.53,0.5,0.54,0.47
jaolt.csv,0.54,0.49,0.6,0.57,0.05,0.6,0.47,0.34,0.65,0.21,0.6,0.5,0.98,0.58,0.42,0.51,0.49
jcl.csv,0.12,0.07,0.0,0.14,0.02,0.02,0.0,0.0,0.2,0.04,0.01,0.26,0.0,0.14,1.0,0.07,0.1
ltp.csv,0.12,0.22,0.2,0.24,0.98,0.04,0.0,0.15,0.13,0.04,0.02,0.13,0.18,0.1,0.17,0.07,0.05
mia.csv,0.38,0.51,0.31,0.24,0.0,0.39,0.94,0.0,0.42,0.48,0.43,0.95,0.36,0.25,0.36,0.09,0.05
net-snmp.csv,1.0,0.35,0.5,0.19,0.61,0.57,0.89,0.13,0.25,0.57,0.57,0.37,0.37,0.32,0.17,0.5,0.54
opde.csv,0.54,0.42,0.39,0.97,0.52,0.39,0.0,0.15,0.25,0.32,0.41,0.26,0.46,0.2,0.3,0.35,0.24
oppna-program-hsatools.csv,0.47,0.57,0.24,0.09,0.24,0.66,0.0,0.0,0.27,0.0,1.0,0.0,0.27,0.6,0.26,0.55,0.3
powerfolder-.csv,0.12,1.0,0.0,0.4,0.13,0.3,0.0,0.15,0.32,0.3,0.42,0.2,0.34,0.14,0.63,0.38,0.24
qlc.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,1.0,0.18,0.06,0.26,0.04,0.0,0.17,0.0,0.1
quantlib.csv,0.26,0.55,0.25,0.49,0.32,0.48,0.92,0.2,0.2,0.12,0.33,0.7,0.37,0.43,0.71,0.22,0.93
tcl.csv,0.24,0.19,0.28,0.19,0.2,0.13,0.0,0.44,0.13,1.0,0.16,0.25,0.13,0.05,0.09,0.15,0.0
