,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.78,0.55,0.52,0.52,0.43,0.95,0.0,0.62,0.67,0.67,0.5,0.33,0.42,0.54,0.29,0.78,0.46
codepurge.csv,0.12,0.68,0.14,0.4,0.93,0.21,1.0,0.58,0.22,0.79,0.14,0.17,0.33,0.88,0.43,0.22,0.17
fontforge.csv,0.05,0.45,0.17,0.16,0.11,0.14,1.0,0.96,0.11,0.26,0.1,0.17,0.26,0.46,0.43,0.31,0.25
gmerlin.csv,0.2,0.32,0.17,0.28,0.14,0.3,1.0,0.83,0.5,0.62,0.35,0.56,0.21,0.12,1.0,0.91,0.12
hatari.csv,0.78,0.71,0.93,0.6,0.65,0.7,1.0,0.46,0.83,0.62,0.55,0.56,0.62,0.54,0.5,0.53,0.46
jaolt.csv,0.68,1.0,0.69,0.8,1.0,0.91,1.0,0.88,0.72,0.95,0.81,0.5,0.97,0.75,0.86,0.53,0.54
jcl.csv,0.1,0.06,0.0,0.12,0.02,0.02,0.0,0.0,0.17,0.03,0.01,0.22,0.0,0.12,1.0,0.06,0.08
ltp.csv,0.1,0.19,0.17,0.2,0.98,0.03,0.0,0.12,0.11,0.03,0.02,0.11,0.15,0.08,0.14,0.06,0.04
mia.csv,0.8,0.48,0.28,0.2,0.0,0.36,1.0,0.92,0.39,0.69,0.7,0.94,0.33,0.21,0.36,0.97,0.04
net-snmp.csv,1.0,0.32,0.45,0.16,0.65,0.55,1.0,0.92,0.22,0.59,0.55,0.33,0.33,0.29,0.14,0.47,0.54
opde.csv,0.51,0.39,0.34,0.96,0.56,0.35,0.0,0.12,0.22,0.28,0.36,0.22,0.42,0.17,0.93,0.31,0.21
oppna-program-hsatools.csv,0.9,0.77,1.0,0.96,0.98,0.79,1.0,0.92,0.94,1.0,1.0,1.0,1.0,0.79,0.79,0.81,1.0
powerfolder-.csv,0.1,1.0,0.0,0.36,0.11,0.26,0.0,0.12,0.28,0.26,0.41,0.17,0.3,0.12,0.79,0.34,0.21
qlc.csv,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,1.0,0.15,0.05,0.22,0.03,0.0,0.14,0.0,0.08
quantlib.csv,0.22,0.65,0.21,0.48,0.28,0.59,1.0,0.17,0.17,0.1,0.95,0.78,0.52,0.38,0.86,0.19,0.92
tcl.csv,0.2,0.16,0.24,0.16,0.17,0.11,0.0,0.42,0.11,1.0,0.13,0.22,0.11,0.04,0.07,0.12,0.0
