,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,1.0,6.0,0.0,0.0,1.0,0.0,52.0,1.0,21.0,0.0,0.0,7.0,0.0,7.0,3.0,7.0,9.0
codepurge.csv,2.0,4.0,0.0,0.0,2.0,2.0,5.0,3.0,8.0,0.0,0.0,17.0,2.0,0.0,6.0,4.0,6.0
fontforge.csv,5.0,4.0,0.0,0.0,1.0,2.0,6.0,0.0,10.0,1.0,1.0,0.0,2.0,5.0,12.0,1.0,11.0
gmerlin.csv,0.0,4.0,2.0,2.0,0.0,6.0,17.0,5.0,15.0,2.0,0.0,19.0,2.0,4.0,7.0,0.0,10.0
hatari.csv,1.0,5.0,0.0,0.0,0.0,4.0,33.0,11.0,12.0,0.0,2.0,31.0,0.0,28.0,0.0,4.0,6.0
jaolt.csv,0.0,0.0,0.0,0.0,2.0,9.0,44.0,13.0,3.0,0.0,2.0,10.0,0.0,22.0,7.0,4.0,3.0
jcl.csv,1.0,1.0,64.0,0.0,2.0,0.0,52.0,54.0,14.0,2.0,0.0,5.0,101.0,13.0,0.0,6.0,9.0
ltp.csv,0.0,10.0,1.0,0.0,0.0,3.0,52.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,2.0,2.0,0.0
mia.csv,1.0,1.0,1.0,1.0,0.0,14.0,12.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,7.0,8.0,13.0
net-snmp.csv,0.0,1.0,0.0,0.0,0.0,2.0,19.0,1.0,5.0,0.0,0.0,10.0,0.0,17.0,6.0,4.0,2.0
opde.csv,0.0,8.0,0.0,0.0,2.0,2.0,52.0,3.0,16.0,0.0,0.0,3.0,0.0,12.0,5.0,0.0,23.0
oppna-program-hsatools.csv,0.0,20.0,0.0,0.0,0.0,3.0,52.0,14.0,24.0,0.0,0.0,8.0,0.0,18.0,11.0,2.0,3.0
powerfolder-.csv,0.0,0.0,64.0,3.0,1.0,8.0,52.0,2.0,9.0,4.0,2.0,7.0,1.0,11.0,5.0,1.0,8.0
qlc.csv,91.0,104.0,64.0,0.0,471.0,161.0,52.0,1.0,1.0,0.0,1.0,1.0,0.0,168.0,0.0,97.0,3.0
quantlib.csv,2.0,1.0,0.0,0.0,0.0,12.0,16.0,1.0,8.0,0.0,2.0,8.0,1.0,5.0,4.0,3.0,0.0
tcl.csv,0.0,6.0,0.0,5.0,0.0,2.0,52.0,1.0,6.0,0.0,0.0,8.0,1.0,6.0,17.0,2.0,118.0
