,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.74,0.85,1.08,0.91,1.0,1.0,0.83,0.43,0.99,0.94,1.0
haphazard.csv,0.89,0.72,0.77,0.88,0.66,0.8,0.64,0.78,0.53,0.46,0.92
jicarilla.csv,0.93,1.0,0.25,1.0,1.0,1.0,0.92,0.79,1.0,1.0,0.98
jruby.csv,0.91,0.8,0.83,0.9,0.92,0.84,0.97,0.89,0.71,0.95,0.61
optalgtoolkit.csv,0.85,0.72,0.89,0.96,0.79,0.39,0.9,0.89,0.83,0.63,0.91
ossim.csv,0.88,0.75,0.77,0.27,1.0,0.71,0.83,0.92,0.83,0.97,0.81
projectts.csv,0.54,0.73,0.99,0.64,0.89,0.94,0.58,0.96,0.75,0.93,1.0
qedo.csv,1.01,0.95,0.71,0.96,1.01,0.55,0.81,0.76,0.71,0.32,0.94
sabbu.csv,0.35,0.69,0.93,0.6,0.61,0.9,0.68,0.92,0.72,1.07,0.7
vxl.csv,0.54,0.64,0.86,0.48,0.9,0.86,0.72,0.58,0.69,0.7,0.81
zact.csv,0.79,0.98,0.48,0.55,0.38,0.89,0.78,0.85,0.72,0.53,0.79
