,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.72,0.85,0.54,0.9,1.0,1.0,0.74,0.39,0.98,0.94,1.0
haphazard.csv,0.89,0.45,0.57,0.55,0.34,0.55,0.33,0.56,0.27,0.22,0.89
jicarilla.csv,0.07,0.0,0.24,0.01,0.0,0.0,0.07,0.56,0.0,0.05,0.0
jruby.csv,0.91,0.27,0.11,0.21,0.34,0.48,0.04,0.89,0.46,0.39,0.53
optalgtoolkit.csv,0.52,0.45,0.86,0.51,0.34,0.23,0.74,0.89,0.46,0.51,0.21
ossim.csv,0.3,0.19,0.32,0.26,0.02,0.32,0.67,0.89,0.46,0.35,0.21
projectts.csv,0.48,0.68,0.19,0.47,0.88,0.58,0.52,0.06,0.6,0.35,1.0
qedo.csv,0.52,0.04,0.54,0.41,0.17,0.45,0.22,0.72,0.13,0.23,0.11
sabbu.csv,0.24,0.58,0.19,0.47,0.59,0.13,0.44,0.11,0.56,0.69,0.58
vxl.csv,0.37,0.35,0.27,0.3,0.55,0.45,0.26,0.33,0.58,0.69,0.74
zact.csv,0.61,0.07,0.27,0.46,0.25,0.0,0.59,0.67,0.21,0.34,0.21
