,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.18,0.11,0.11,0.12,0.12,0.01,0.3,0.2,0.0,0.21,0.0,0.3,0.32,0.0
emeraldemu.csv,0.31,0.26,0.73,0.1,0.2,0.08,0.57,0.01,0.48,0.0,0.06,0.0,0.0,0.03
frogatto.csv,0.41,0.61,0.89,0.26,0.69,0.64,0.62,0.69,0.87,0.39,0.94,0.3,0.55,0.62
grafx2.csv,0.53,0.47,0.49,0.16,0.25,0.28,0.55,0.51,0.52,0.16,0.56,0.18,0.29,0.53
jahshakafx.csv,0.26,0.29,0.36,0.17,0.39,0.22,0.47,0.04,0.48,0.08,0.22,0.12,0.32,0.18
nassp.csv,0.23,0.15,0.02,0.13,0.14,0.09,0.09,0.43,0.24,0.13,0.06,0.21,0.34,0.05
netatalk.csv,0.53,0.81,0.99,0.48,0.58,0.67,0.81,0.24,0.89,0.24,0.53,0.09,0.26,0.65
open-beos.csv,0.38,0.43,0.53,0.17,0.58,0.27,0.23,0.92,0.43,0.84,0.25,0.21,0.76,0.46
psycle.csv,0.44,0.8,0.86,0.32,0.66,0.3,0.85,0.53,0.83,0.58,0.62,0.48,0.79,0.48
quantlib.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.32,0.0,0.98,0.0,0.69,0.0,0.0,0.28
reaper-ecad.csv,0.11,0.07,0.22,0.03,0.07,0.01,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0
sbml.csv,0.8,0.38,0.67,0.64,0.89,0.61,0.83,0.59,0.87,0.26,0.19,0.45,0.55,0.52
unimrcp.csv,0.59,0.4,0.36,0.35,0.28,0.26,0.89,0.32,0.57,0.05,0.12,0.58,0.21,0.61
unladen-swallow.csv,0.08,0.19,0.04,0.17,0.3,0.25,0.13,0.28,0.0,0.13,0.16,0.21,0.37,0.21
