,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.25,0.4,0.16,0.0,0.2,0.33,0.11,0.35,0.27,0.57,0.18,0.08,0.24,0.15,0.88,0.55,0.47
baadengine.csv,0.83,0.12,0.37,0.03,0.57,0.35,0.47,0.41,0.28,0.63,0.22,0.08,0.34,0.32,0.9,0.56,0.85
bibedt.csv,0.23,0.09,0.46,0.04,0.55,0.46,0.54,0.28,0.32,0.38,0.31,0.18,0.55,0.3,0.76,0.48,0.78
exl.csv,0.37,0.12,0.88,0.03,0.48,0.46,0.36,0.35,0.29,0.38,0.25,0.0,0.48,0.12,0.24,0.21,0.85
gdis.csv,0.65,0.07,0.75,0.0,0.64,0.37,0.54,0.38,0.27,0.56,0.2,0.15,0.36,0.21,0.91,0.54,0.87
gogoego.csv,0.38,0.0,0.39,0.04,0.59,0.31,0.67,0.44,0.23,0.57,0.26,0.0,0.39,0.32,0.77,0.32,0.73
httpcontentparser.csv,0.45,0.04,0.5,0.05,0.65,0.06,0.12,0.38,0.33,0.32,0.42,0.05,0.36,0.31,0.0,0.4,0.66
jaxlib.csv,0.43,0.07,0.29,0.0,0.64,0.43,0.5,0.41,0.21,0.51,0.26,0.67,0.42,0.29,0.37,0.4,0.88
jgameai.csv,0.15,0.24,0.02,0.0,0.21,0.5,0.19,0.13,0.09,0.12,0.06,0.11,0.24,0.0,0.35,0.07,0.39
jhotdraw.csv,0.69,0.12,0.88,0.02,0.68,0.44,0.06,0.36,0.55,0.33,0.13,0.07,0.26,0.14,0.67,0.4,0.77
loki-lib.csv,0.62,0.1,0.82,0.02,0.69,0.4,0.62,0.41,0.32,0.6,0.29,0.07,0.31,0.19,0.9,0.67,0.67
patterntesting.csv,0.85,0.11,0.98,0.02,0.77,0.46,0.47,0.38,0.31,0.68,0.2,0.08,0.35,0.23,0.77,0.56,0.86
pokeglobal.csv,0.85,0.14,0.97,0.09,0.76,0.25,0.47,0.36,0.3,0.64,0.26,0.0,0.33,0.38,0.36,0.33,0.81
werx.csv,0.85,0.15,0.98,0.02,0.75,0.45,0.47,0.36,0.31,0.55,0.19,0.08,0.33,0.23,0.89,0.56,0.6
xbg.csv,0.6,0.13,0.0,0.0,0.0,0.0,0.13,0.12,0.05,0.31,0.08,0.0,0.0,0.47,0.07,0.12,0.09
zealos.csv,0.59,0.13,0.72,0.03,0.61,0.42,0.58,0.39,0.32,0.61,0.18,0.12,0.29,0.15,0.81,0.49,0.58
