,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.42,1.0,0.74,0.67,0.67,0.84,0.59,0.58,0.72,0.57,1.0,0.85
gmerlin.csv,0.65,0.82,0.39,0.0,0.53,0.0,0.56,0.49,0.0,0.87,0.0,0.93
google-gears.csv,0.81,0.77,0.63,0.91,0.89,0.91,0.38,0.74,0.9,0.65,1.0,0.96
gstreamer.csv,0.9,0.77,0.77,0.87,0.88,0.89,0.78,0.73,0.69,0.7,0.67,1.0
lportal.csv,0.06,0.09,0.04,0.03,0.08,0.74,0.03,0.0,0.38,0.09,0.53,0.19
metacosm.csv,0.32,0.68,0.46,0.16,0.38,0.7,0.28,0.26,0.39,0.57,0.52,0.7
mplayer-ce.csv,0.97,0.86,0.92,0.96,0.78,0.95,0.78,0.88,0.54,0.65,0.54,0.96
openmeetings.csv,0.61,0.95,0.49,0.39,0.53,0.53,0.41,0.26,0.35,0.7,0.64,0.52
qgis.csv,0.45,0.41,0.63,0.0,0.54,0.59,0.34,0.32,0.82,0.74,0.02,0.63
skia.csv,0.71,0.59,0.43,0.59,0.71,0.2,0.44,0.46,0.27,0.65,0.24,0.33
wxcrp.csv,0.65,0.73,0.79,0.92,0.91,0.85,0.75,0.64,0.92,0.78,0.92,0.85
yafdotnet.csv,0.81,0.95,0.6,0.55,0.69,0.91,0.59,0.53,0.52,0.74,0.4,0.93
