,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.23,0.34,0.49,0.09,0.25,0.08,0.02,0.0,0.0,0.16,0.01,0.13,0.08,0.01,0.43,0.45
bdbbasic.csv,0.31,0.11,0.22,0.16,0.13,0.41,0.0,0.0,0.08,0.45,0.01,0.06,0.03,0.0,0.36,0.55
crux-framework.csv,0.0,0.02,0.02,0.03,0.0,0.32,0.0,0.08,0.04,0.0,0.2,0.01,0.0,0.04,0.0,0.0
echongl.csv,0.56,0.37,0.99,0.81,0.9,0.69,0.75,0.45,0.57,0.32,0.94,0.75,0.62,0.85,0.82,0.81
etherboot.csv,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.22,1.0
freebios.csv,0.65,0.11,0.34,0.56,0.62,0.41,0.33,0.82,0.53,0.13,0.34,0.62,0.65,0.46,0.5,0.26
gebr.csv,1.0,1.0,0.95,0.91,0.92,1.0,1.0,0.42,1.0,1.0,0.89,0.99,0.81,0.95,1.0,1.0
gnukeda.csv,0.88,0.67,0.45,0.28,0.75,0.64,0.67,0.32,0.51,0.87,0.42,0.43,0.95,0.12,0.8,0.97
google-gears.csv,0.91,0.52,0.96,0.47,0.97,1.0,0.98,0.97,0.98,1.0,0.98,0.92,0.68,0.92,1.0,1.0
gstreamer.csv,0.75,0.94,0.7,0.44,0.85,0.91,0.86,0.24,0.8,0.89,0.82,0.7,0.59,0.36,0.91,1.0
jnode.csv,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metacosm.csv,0.09,0.02,0.15,0.06,0.08,0.24,0.18,0.0,0.1,0.68,0.32,0.16,0.0,0.04,0.19,0.26
openmeetings.csv,0.01,0.04,0.0,0.03,0.1,0.0,0.0,0.0,0.06,0.08,0.07,0.01,0.0,0.01,0.05,0.13
pgui.csv,0.05,0.46,0.0,0.09,0.62,0.4,0.0,0.11,0.49,0.0,0.09,0.78,0.14,0.0,1.0,1.0
tradelink.csv,0.03,0.01,0.18,0.06,0.05,0.06,0.12,0.03,0.0,0.0,0.11,0.08,0.03,0.06,0.19,0.35
wxcrp.csv,0.07,0.94,0.73,0.16,0.87,0.06,0.02,1.0,0.0,0.21,0.19,0.13,0.14,0.01,0.45,0.71
